,Unnamed: 0,time,row_384,column_384,rfu_value,RNAseT,standard_conc,replicate,reporter,reporter_conc,sample_set
101,101,00:10:00,O,9,38.08,RNAseT_added,,b,DNA-RNA,0.833,2XBB
102,102,00:10:00,J,11,266.562,standard,0.3125,a,standard,,standard
103,103,00:10:00,K,11,246.057,standard,0.3125,b,standard,,standard
104,104,00:10:00,L,11,23.434,RNAseT_added,,a,DNA-RNA,0,H20
105,105,00:10:00,M,11,46.868,RNAseT_added,,b,DNA-RNA,0,H20
106,106,00:10:00,N,11,41.00899999999999,RNAseT_added,,a,DNA-RNA,0,2XBB
107,107,00:10:00,O,11,38.08,RNAseT_added,,b,DNA-RNA,0,2XBB
108,108,00:10:00,J,13,143.533,standard,0.15625,a,standard,,standard
109,109,00:10:00,K,13,137.675,standard,0.15625,b,standard,,standard
110,110,00:10:00,L,13,32.222,no_RNAseT,,a,DNA-RNA,45,H20
111,111,00:10:00,M,13,49.797,no_RNAseT,,b,DNA-RNA,45,H20
112,112,00:10:00,N,13,35.151,no_RNAseT,,a,DNA-RNA,45,2XBB
113,113,00:10:00,O,13,26.363000000000003,no_RNAseT,,b,DNA-RNA,45,2XBB
114,114,00:10:00,J,15,125.958,standard,0.078125,a,standard,,standard
115,115,00:10:00,K,15,111.311,standard,0.078125,b,standard,,standard
116,116,00:10:00,L,15,84.948,RNAseT_added,,a,RNA,45,H20
117,117,00:10:00,M,15,61.514,RNAseT_added,,b,RNA,45,H20
118,118,00:10:00,N,15,1133.619,RNAseT_added,,a,DNA-RNA,5,DNAse1
119,119,00:10:00,O,15,796.755,RNAseT_added,,b,DNA-RNA,5,DNAse1
120,120,00:10:00,J,17,123.028,standard,0.0390625,a,standard,,standard
121,121,00:10:00,K,17,123.028,standard,0.0390625,b,standard,,standard
122,122,00:10:00,L,17,32.222,,,a,,,
123,123,00:10:00,M,17,41.00899999999999,,,b,,,
124,124,00:10:00,N,17,20.505,,,a,,,
125,125,00:10:00,O,17,43.93899999999999,,,b,,,
126,126,00:10:00,J,19,114.241,standard,0.0195312,a,standard,,standard
127,127,00:10:00,K,19,90.807,standard,0.0195312,b,standard,,standard
128,128,00:10:00,L,19,52.726000000000006,,,a,,,
129,129,00:10:00,M,19,67.373,,,b,,,
130,130,00:10:00,N,19,32.222,,,a,,,
131,131,00:10:00,O,19,67.373,,,b,,,
132,132,00:10:00,J,21,143.533,standard,0.0097656,a,standard,,standard
133,133,00:10:00,K,21,175.755,standard,0.0097656,b,standard,,standard
134,134,00:10:00,L,21,64.443,,,a,,,
135,135,00:10:00,M,21,35.151,,,b,,,
136,136,00:10:00,N,21,41.00899999999999,,,a,,,
137,137,00:10:00,O,21,32.222,,,b,,,
138,138,00:10:00,J,23,105.453,standard,0,a,standard,,standard
139,139,00:10:00,K,23,102.524,standard,0,b,standard,,standard
140,140,00:10:00,L,23,46.868,,,a,,,
141,141,00:10:00,M,23,38.08,,,b,,,
142,142,00:10:00,N,23,61.514,,,a,,,
143,143,00:10:00,O,23,49.797,,,b,,,
144,144,00:20:00,J,1,6284.504,standard,10,a,standard,,standard
145,145,00:20:00,K,1,6028.5340000000015,standard,10,b,standard,,standard
146,146,00:20:00,L,1,6134.453,RNAseT_added,,a,DNA-RNA,45,H20
147,147,00:20:00,M,1,5954.979,RNAseT_added,,b,DNA-RNA,45,H20
148,148,00:20:00,N,1,126.514,RNAseT_added,,a,DNA-RNA,45,2XBB
149,149,00:20:00,O,1,88.266,RNAseT_added,,b,DNA-RNA,45,2XBB
150,150,00:20:00,J,3,3839.55,standard,5,a,standard,,standard
151,151,00:20:00,K,3,3607.117,standard,5,b,standard,,standard
152,152,00:20:00,L,3,4101.404,RNAseT_added,,a,DNA-RNA,15,H20
153,153,00:20:00,M,3,3642.423,RNAseT_added,,b,DNA-RNA,15,H20
154,154,00:20:00,N,3,41.191,RNAseT_added,,a,DNA-RNA,15,2XBB
155,155,00:20:00,O,3,52.959,RNAseT_added,,b,DNA-RNA,15,2XBB
156,156,00:20:00,J,5,2130.141,standard,2.5,a,standard,,standard
157,157,00:20:00,K,5,2047.76,standard,2.5,b,standard,,standard
158,158,00:20:00,L,5,1835.922,RNAseT_added,,a,DNA-RNA,5,H20
159,159,00:20:00,M,5,1780.021,RNAseT_added,,b,DNA-RNA,5,H20
160,160,00:20:00,N,5,38.24800000000001,RNAseT_added,,a,DNA-RNA,5,2XBB
161,161,00:20:00,O,5,44.133,RNAseT_added,,b,DNA-RNA,5,2XBB
162,162,00:20:00,J,7,1085.6660000000004,standard,1.25,a,standard,,standard
163,163,00:20:00,K,7,1229.833,standard,1.25,b,standard,,standard
164,164,00:20:00,L,7,376.599,RNAseT_added,,a,DNA-RNA,1.66,H20
165,165,00:20:00,M,7,385.426,RNAseT_added,,b,DNA-RNA,1.66,H20
166,166,00:20:00,N,7,58.844,RNAseT_added,,a,DNA-RNA,1.66,2XBB
167,167,00:20:00,O,7,38.24800000000001,RNAseT_added,,b,DNA-RNA,1.66,2XBB
168,168,00:20:00,J,9,547.246,standard,0.625,a,standard,,standard
169,169,00:20:00,K,9,573.726,standard,0.625,b,standard,,standard
170,170,00:20:00,L,9,52.959,RNAseT_added,,a,DNA-RNA,0.833,H20
171,171,00:20:00,M,9,55.901,RNAseT_added,,b,DNA-RNA,0.833,H20
172,172,00:20:00,N,9,41.191,RNAseT_added,,a,DNA-RNA,0.833,2XBB
173,173,00:20:00,O,9,52.959,RNAseT_added,,b,DNA-RNA,0.833,2XBB
174,174,00:20:00,J,11,344.235,standard,0.3125,a,standard,,standard
175,175,00:20:00,K,11,338.351,standard,0.3125,b,standard,,standard
176,176,00:20:00,L,11,38.24800000000001,RNAseT_added,,a,DNA-RNA,0,H20
177,177,00:20:00,M,11,41.191,RNAseT_added,,b,DNA-RNA,0,H20
178,178,00:20:00,N,11,44.133,RNAseT_added,,a,DNA-RNA,0,2XBB
179,179,00:20:00,O,11,23.537,RNAseT_added,,b,DNA-RNA,0,2XBB
180,180,00:20:00,J,13,191.242,standard,0.15625,a,standard,,standard
181,181,00:20:00,K,13,182.415,standard,0.15625,b,standard,,standard
182,182,00:20:00,L,13,20.595,no_RNAseT,,a,DNA-RNA,45,H20
183,183,00:20:00,M,13,44.133,no_RNAseT,,b,DNA-RNA,45,H20
184,184,00:20:00,N,13,38.24800000000001,no_RNAseT,,a,DNA-RNA,45,2XBB
185,185,00:20:00,O,13,35.306,no_RNAseT,,b,DNA-RNA,45,2XBB
186,186,00:20:00,J,15,123.572,standard,0.078125,a,standard,,standard
187,187,00:20:00,K,15,126.514,standard,0.078125,b,standard,,standard
188,188,00:20:00,L,15,85.323,RNAseT_added,,a,RNA,45,H20
189,189,00:20:00,M,15,76.497,RNAseT_added,,b,RNA,45,H20
190,190,00:20:00,N,15,1221.006,RNAseT_added,,a,DNA-RNA,5,DNAse1
191,191,00:20:00,O,15,938.557,RNAseT_added,,b,DNA-RNA,5,DNAse1
192,192,00:20:00,J,17,129.45600000000002,standard,0.0390625,a,standard,,standard
193,193,00:20:00,K,17,108.861,standard,0.0390625,b,standard,,standard
194,194,00:20:00,L,17,52.959,,,a,,,
195,195,00:20:00,M,17,32.364000000000004,,,b,,,
196,196,00:20:00,N,17,32.364000000000004,,,a,,,
197,197,00:20:00,O,17,38.24800000000001,,,b,,,
198,198,00:20:00,J,19,100.034,standard,0.0195312,a,standard,,standard
199,199,00:20:00,K,19,135.34,standard,0.0195312,b,standard,,standard
200,200,00:20:00,L,19,26.48,,,a,,,
201,201,00:20:00,M,19,44.133,,,b,,,
202,202,00:20:00,N,19,44.133,,,a,,,
203,203,00:20:00,O,19,58.844,,,b,,,
204,204,00:20:00,J,21,155.936,standard,0.0097656,a,standard,,standard
205,205,00:20:00,K,21,220.664,standard,0.0097656,b,standard,,standard
206,206,00:20:00,L,21,47.075,,,a,,,
207,207,00:20:00,M,21,26.48,,,b,,,
208,208,00:20:00,N,21,55.901,,,a,,,
209,209,00:20:00,O,21,35.306,,,b,,,
210,210,00:20:00,J,23,102.976,standard,0,a,standard,,standard
211,211,00:20:00,K,23,117.687,standard,0,b,standard,,standard
212,212,00:20:00,L,23,55.901,,,a,,,
213,213,00:20:00,M,23,50.017,,,b,,,
214,214,00:20:00,N,23,23.537,,,a,,,
215,215,00:20:00,O,23,38.24800000000001,,,b,,,
216,216,00:30:00,J,1,5970.25,standard,10,a,standard,,standard
217,217,00:30:00,K,1,5817.5430000000015,standard,10,b,standard,,standard
218,218,00:30:00,L,1,5653.089,RNAseT_added,,a,DNA-RNA,45,H20
219,219,00:30:00,M,1,5791.113,RNAseT_added,,b,DNA-RNA,45,H20
220,220,00:30:00,N,1,114.53,RNAseT_added,,a,DNA-RNA,45,2XBB
221,221,00:30:00,O,1,76.35300000000002,RNAseT_added,,b,DNA-RNA,45,2XBB
222,222,00:30:00,J,3,3606.231,standard,5,a,standard,,standard
223,223,00:30:00,K,3,3550.434,standard,5,b,standard,,standard
224,224,00:30:00,L,3,3864.657,RNAseT_added,,a,DNA-RNA,15,H20
225,225,00:30:00,M,3,3259.704,RNAseT_added,,b,DNA-RNA,15,H20
226,226,00:30:00,N,3,38.177,RNAseT_added,,a,DNA-RNA,15,2XBB
227,227,00:30:00,O,3,52.86,RNAseT_added,,b,DNA-RNA,15,2XBB
228,228,00:30:00,J,5,2064.479,standard,2.5,a,standard,,standard
229,229,00:30:00,K,5,2120.276,standard,2.5,b,standard,,standard
230,230,00:30:00,L,5,1835.419,RNAseT_added,,a,DNA-RNA,5,H20
231,231,00:30:00,M,5,1712.079,RNAseT_added,,b,DNA-RNA,5,H20
232,232,00:30:00,N,5,49.923,RNAseT_added,,a,DNA-RNA,5,2XBB
233,233,00:30:00,O,5,61.67,RNAseT_added,,b,DNA-RNA,5,2XBB
234,234,00:30:00,J,7,1253.958,standard,1.25,a,standard,,standard
235,235,00:30:00,K,7,1104.188,standard,1.25,b,standard,,standard
236,236,00:30:00,L,7,358.274,RNAseT_added,,a,DNA-RNA,1.66,H20
237,237,00:30:00,M,7,434.627,RNAseT_added,,b,DNA-RNA,1.66,H20
238,238,00:30:00,N,7,58.733,RNAseT_added,,a,DNA-RNA,1.66,2XBB
239,239,00:30:00,O,7,32.303000000000004,RNAseT_added,,b,DNA-RNA,1.66,2XBB
240,240,00:30:00,J,9,569.714,standard,0.625,a,standard,,standard
241,241,00:30:00,K,9,490.424,standard,0.625,b,standard,,standard
242,242,00:30:00,L,9,79.29,RNAseT_added,,a,DNA-RNA,0.833,H20
243,243,00:30:00,M,9,96.91,RNAseT_added,,b,DNA-RNA,0.833,H20
244,244,00:30:00,N,9,29.367,RNAseT_added,,a,DNA-RNA,0.833,2XBB
245,245,00:30:00,O,9,29.367,RNAseT_added,,b,DNA-RNA,0.833,2XBB
246,246,00:30:00,J,11,346.527,standard,0.3125,a,standard,,standard
247,247,00:30:00,K,11,346.527,standard,0.3125,b,standard,,standard
248,248,00:30:00,L,11,44.05,RNAseT_added,,a,DNA-RNA,0,H20
249,249,00:30:00,M,11,35.24,RNAseT_added,,b,DNA-RNA,0,H20
250,250,00:30:00,N,11,29.367,RNAseT_added,,a,DNA-RNA,0,2XBB
251,251,00:30:00,O,11,35.24,RNAseT_added,,b,DNA-RNA,0,2XBB
252,252,00:30:00,J,13,161.517,standard,0.15625,a,standard,,standard
253,253,00:30:00,K,13,185.01,standard,0.15625,b,standard,,standard
254,254,00:30:00,L,13,38.177,no_RNAseT,,a,DNA-RNA,45,H20
255,255,00:30:00,M,13,41.113,no_RNAseT,,b,DNA-RNA,45,H20
256,256,00:30:00,N,13,35.24,no_RNAseT,,a,DNA-RNA,45,2XBB
257,257,00:30:00,O,13,26.43,no_RNAseT,,b,DNA-RNA,45,2XBB
258,258,00:30:00,J,15,185.01,standard,0.078125,a,standard,,standard
259,259,00:30:00,K,15,161.517,standard,0.078125,b,standard,,standard
260,260,00:30:00,L,15,96.91,RNAseT_added,,a,RNA,45,H20
261,261,00:30:00,M,15,67.543,RNAseT_added,,b,RNA,45,H20
262,262,00:30:00,N,15,1391.981,RNAseT_added,,a,DNA-RNA,5,DNAse1
263,263,00:30:00,O,15,1068.948,RNAseT_added,,b,DNA-RNA,5,DNAse1
264,264,00:30:00,J,17,102.783,standard,0.0390625,a,standard,,standard
265,265,00:30:00,K,17,173.264,standard,0.0390625,b,standard,,standard
266,266,00:30:00,L,17,41.113,,,a,,,
267,267,00:30:00,M,17,46.987,,,b,,,
268,268,00:30:00,N,17,32.303000000000004,,,a,,,
269,269,00:30:00,O,17,32.303000000000004,,,b,,,
270,270,00:30:00,J,19,143.89700000000005,standard,0.0195312,a,standard,,standard
271,271,00:30:00,K,19,152.707,standard,0.0195312,b,standard,,standard
272,272,00:30:00,L,19,32.303000000000004,,,a,,,
273,273,00:30:00,M,19,29.367,,,b,,,
274,274,00:30:00,N,19,23.493,,,a,,,
275,275,00:30:00,O,19,52.86,,,b,,,
276,276,00:30:00,J,21,170.327,standard,0.0097656,a,standard,,standard
277,277,00:30:00,K,21,187.947,standard,0.0097656,b,standard,,standard
278,278,00:30:00,L,21,52.86,,,a,,,
279,279,00:30:00,M,21,26.43,,,b,,,
280,280,00:30:00,N,21,14.683,,,a,,,
281,281,00:30:00,O,21,17.62,,,b,,,
282,282,00:30:00,J,23,170.327,standard,0,a,standard,,standard
283,283,00:30:00,K,23,111.593,standard,0,b,standard,,standard
284,284,00:30:00,L,23,17.62,,,a,,,
285,285,00:30:00,M,23,29.367,,,b,,,
286,286,00:30:00,N,23,49.923,,,a,,,
287,287,00:30:00,O,23,49.923,,,b,,,
288,288,00:40:00,J,1,5872.475,standard,10,a,standard,,standard
289,289,00:40:00,K,1,5778.0909999999985,standard,10,b,standard,,standard
290,290,00:40:00,L,1,5680.757,RNAseT_added,,a,DNA-RNA,45,H20
291,291,00:40:00,M,1,5273.725,RNAseT_added,,b,DNA-RNA,45,H20
292,292,00:40:00,N,1,103.233,RNAseT_added,,a,DNA-RNA,45,2XBB
293,293,00:40:00,O,1,94.384,RNAseT_added,,b,DNA-RNA,45,2XBB
294,294,00:40:00,J,3,3568.907,standard,5,a,standard,,standard
295,295,00:40:00,K,3,3495.17,standard,5,b,standard,,standard
296,296,00:40:00,L,3,3607.251,RNAseT_added,,a,DNA-RNA,15,H20
297,297,00:40:00,M,3,3197.269,RNAseT_added,,b,DNA-RNA,15,H20
298,298,00:40:00,N,3,41.293,RNAseT_added,,a,DNA-RNA,15,2XBB
299,299,00:40:00,O,3,41.293,RNAseT_added,,b,DNA-RNA,15,2XBB
300,300,00:40:00,J,5,1872.939,standard,2.5,a,standard,,standard
301,301,00:40:00,K,5,2017.465,standard,2.5,b,standard,,standard
302,302,00:40:00,L,5,1678.271,RNAseT_added,,a,DNA-RNA,5,H20
303,303,00:40:00,M,5,1586.8370000000002,RNAseT_added,,b,DNA-RNA,5,H20
304,304,00:40:00,N,5,41.293,RNAseT_added,,a,DNA-RNA,5,2XBB
305,305,00:40:00,O,5,47.192,RNAseT_added,,b,DNA-RNA,5,2XBB
306,306,00:40:00,J,7,1274.188,standard,1.25,a,standard,,standard
307,307,00:40:00,K,7,1235.845,standard,1.25,b,standard,,standard
308,308,00:40:00,L,7,353.941,RNAseT_added,,a,DNA-RNA,1.66,H20
309,309,00:40:00,M,7,421.78,RNAseT_added,,b,DNA-RNA,1.66,H20
310,310,00:40:00,N,7,32.445,RNAseT_added,,a,DNA-RNA,1.66,2XBB
311,311,00:40:00,O,7,32.445,RNAseT_added,,b,DNA-RNA,1.66,2XBB
312,312,00:40:00,J,9,551.558,standard,0.625,a,standard,,standard
313,313,00:40:00,K,9,616.448,standard,0.625,b,standard,,standard
314,314,00:40:00,L,9,109.132,RNAseT_added,,a,DNA-RNA,0.833,H20
315,315,00:40:00,M,9,106.182,RNAseT_added,,b,DNA-RNA,0.833,H20
316,316,00:40:00,N,9,38.344,RNAseT_added,,a,DNA-RNA,0.833,2XBB
317,317,00:40:00,O,9,32.445,RNAseT_added,,b,DNA-RNA,0.833,2XBB
318,318,00:40:00,J,11,362.79,standard,0.3125,a,standard,,standard
319,319,00:40:00,K,11,350.992,standard,0.3125,b,standard,,standard
320,320,00:40:00,L,11,29.495,RNAseT_added,,a,DNA-RNA,0,H20
321,321,00:40:00,M,11,17.697,RNAseT_added,,b,DNA-RNA,0,H20
322,322,00:40:00,N,11,17.697,RNAseT_added,,a,DNA-RNA,0,2XBB
323,323,00:40:00,O,11,47.192,RNAseT_added,,b,DNA-RNA,0,2XBB
324,324,00:40:00,J,13,215.314,standard,0.15625,a,standard,,standard
325,325,00:40:00,K,13,191.718,standard,0.15625,b,standard,,standard
326,326,00:40:00,L,13,50.142,no_RNAseT,,a,DNA-RNA,45,H20
327,327,00:40:00,M,13,38.344,no_RNAseT,,b,DNA-RNA,45,H20
328,328,00:40:00,N,13,26.546,no_RNAseT,,a,DNA-RNA,45,2XBB
329,329,00:40:00,O,13,17.697,no_RNAseT,,b,DNA-RNA,45,2XBB
330,330,00:40:00,J,15,206.466,standard,0.078125,a,standard,,standard
331,331,00:40:00,K,15,185.819,standard,0.078125,b,standard,,standard
332,332,00:40:00,L,15,159.274,RNAseT_added,,a,RNA,45,H20
333,333,00:40:00,M,15,103.233,RNAseT_added,,b,RNA,45,H20
334,334,00:40:00,N,15,1173.905,RNAseT_added,,a,DNA-RNA,5,DNAse1
335,335,00:40:00,O,15,1111.965,RNAseT_added,,b,DNA-RNA,5,DNAse1
336,336,00:40:00,J,17,179.92,standard,0.0390625,a,standard,,standard
337,337,00:40:00,K,17,168.122,standard,0.0390625,b,standard,,standard
338,338,00:40:00,L,17,20.647,,,a,,,
339,339,00:40:00,M,17,35.394,,,b,,,
340,340,00:40:00,N,17,41.293,,,a,,,
341,341,00:40:00,O,17,32.445,,,b,,,
342,342,00:40:00,J,19,150.425,standard,0.0195312,a,standard,,standard
343,343,00:40:00,K,19,153.375,standard,0.0195312,b,standard,,standard
344,344,00:40:00,L,19,29.495,,,a,,,
345,345,00:40:00,M,19,41.293,,,b,,,
346,346,00:40:00,N,19,35.394,,,a,,,
347,347,00:40:00,O,19,20.647,,,b,,,
348,348,00:40:00,J,21,215.314,standard,0.0097656,a,standard,,standard
349,349,00:40:00,K,21,191.718,standard,0.0097656,b,standard,,standard
350,350,00:40:00,L,21,50.142,,,a,,,
351,351,00:40:00,M,21,35.394,,,b,,,
352,352,00:40:00,N,21,47.192,,,a,,,
353,353,00:40:00,O,21,26.546,,,b,,,
354,354,00:40:00,J,23,138.627,standard,0,a,standard,,standard
355,355,00:40:00,K,23,117.98,standard,0,b,standard,,standard
356,356,00:40:00,L,23,14.748,,,a,,,
357,357,00:40:00,M,23,32.445,,,b,,,
358,358,00:40:00,N,23,35.394,,,a,,,
359,359,00:40:00,O,23,44.243,,,b,,,
360,360,00:50:00,J,1,5461.507,standard,10,a,standard,,standard
361,361,00:50:00,K,1,5346.683000000001,standard,10,b,standard,,standard
362,362,00:50:00,L,1,5437.9540000000015,RNAseT_added,,a,DNA-RNA,45,H20
363,363,00:50:00,M,1,5055.206,RNAseT_added,,b,DNA-RNA,45,H20
364,364,00:50:00,N,1,117.768,RNAseT_added,,a,DNA-RNA,45,2XBB
365,365,00:50:00,O,1,105.992,RNAseT_added,,b,DNA-RNA,45,2XBB
366,366,00:50:00,J,3,3591.935,standard,5,a,standard,,standard
367,367,00:50:00,K,3,3129.6940000000004,standard,5,b,standard,,standard
368,368,00:50:00,L,3,3332.844,RNAseT_added,,a,DNA-RNA,15,H20
369,369,00:50:00,M,3,3097.308,RNAseT_added,,b,DNA-RNA,15,H20
370,370,00:50:00,N,3,67.717,RNAseT_added,,a,DNA-RNA,15,2XBB
371,371,00:50:00,O,3,23.554,RNAseT_added,,b,DNA-RNA,15,2XBB
372,372,00:50:00,J,5,1872.517,standard,2.5,a,standard,,standard
373,373,00:50:00,K,5,2043.281,standard,2.5,b,standard,,standard
