,Unnamed: 0,time,row_384,column_384,rfu_value,RNAseT,standard_conc,replicate,reporter,degradation_method
49,49,00:00:00,I,19,0.0,no_RNAse_T,,b,RNA,RNAseH
50,50,00:00:00,E,21,28.225,standard,0.0097656,a,standard,standard
51,51,00:00:00,F,21,45.16,standard,0.0097656,b,standard,standard
52,52,00:00:00,G,21,50.805,RNAseT_added,,a,RNA,heat
53,53,00:00:00,H,21,5.645,RNAseT_added,,a,H20,RNAseH
54,54,00:00:00,I,21,8.468,no_RNAse_T,,a,RNA,none
55,55,00:00:00,E,23,59.273,standard,0,a,standard,standard
56,56,00:00:00,F,23,42.338,standard,0,b,standard,standard
57,57,00:00:00,G,23,45.16,RNAseT_added,,b,RNA,heat
58,58,00:00:00,H,23,5.645,RNAseT_added,,b,H20,RNAseH
59,59,00:00:00,I,23,11.29,no_RNAse_T,,b,RNA,none
60,60,00:10:00,E,1,7318.539000000002,standard,10,a,standard,standard
61,61,00:10:00,F,1,6850.176,standard,10,b,standard,standard
62,62,00:10:00,G,1,89.075,RNAseT_added,,a,DNA-RNA,heat
63,63,00:10:00,H,1,37.354,RNAseT_added,,a,RNA,heat-DNAse1-buffer
64,64,00:10:00,I,1,5.747000000000001,no_RNAse_T,,a,DNA-RNA,DNAse1
65,65,00:10:00,E,3,4143.437,standard,5,a,standard,standard
66,66,00:10:00,F,3,3755.528,standard,5,b,standard,standard
67,67,00:10:00,G,3,57.468,RNAseT_added,,b,DNA-RNA,heat
68,68,00:10:00,H,3,77.582,RNAseT_added,,b,RNA,heat-DNAse1-buffer
69,69,00:10:00,I,3,17.24,no_RNAse_T,,b,DNA-RNA,DNAse1
70,70,00:10:00,E,5,1712.544,standard,2.5,a,standard,standard
71,71,00:10:00,F,5,1721.164,standard,2.5,b,standard,standard
72,72,00:10:00,G,5,1186.712,RNAseT_added,,a,DNA-RNA,DNAse1
73,73,00:10:00,H,5,31.607,RNAseT_added,,a,RNA,heat-RNAse1-buffer
74,74,00:10:00,I,5,14.367,no_RNAse_T,,a,DNA-RNA,RNAseH
75,75,00:10:00,E,7,649.387,standard,1.25,a,standard,standard
76,76,00:10:00,F,7,620.654,standard,1.25,b,standard,standard
77,77,00:10:00,G,7,956.841,RNAseT_added,,b,DNA-RNA,DNAse1
78,78,00:10:00,H,7,2.873,RNAseT_added,,b,RNA,heat-RNAse1-buffer
79,79,00:10:00,I,7,5.747000000000001,no_RNAse_T,,b,DNA-RNA,RNAseH
80,80,00:10:00,E,9,385.035,standard,0.625,a,standard,standard
81,81,00:10:00,F,9,339.061,standard,0.625,b,standard,standard
82,82,00:10:00,G,9,17.24,RNAseT_added,,a,DNA-RNA,RNAseH
83,83,00:10:00,H,9,20.114,RNAseT_added,,a,RNA,DNAse1
84,84,00:10:00,I,9,11.494000000000002,no_RNAse_T,,a,DNA-RNA,none
85,85,00:10:00,E,11,146.543,standard,0.3125,a,standard,standard
86,86,00:10:00,F,11,143.67,standard,0.3125,b,standard,standard
87,87,00:10:00,G,11,14.367,RNAseT_added,,b,DNA-RNA,RNAseH
88,88,00:10:00,H,11,5.747000000000001,RNAseT_added,,b,RNA,DNAse1
89,89,00:10:00,I,11,11.494000000000002,no_RNAse_T,,b,DNA-RNA,none
90,90,00:10:00,E,13,94.822,standard,0.15625,a,standard,standard
91,91,00:10:00,F,13,74.708,standard,0.15625,b,standard,standard
92,92,00:10:00,G,13,956.841,RNAseT_added,,a,DNA-RNA,none
93,93,00:10:00,H,13,8.62,RNAseT_added,,a,RNA,RNAseH
94,94,00:10:00,I,13,11.494000000000002,no_RNAse_T,,a,RNA,DNAse1
95,95,00:10:00,E,15,86.20200000000001,standard,0.078125,a,standard,standard
96,96,00:10:00,F,15,74.708,standard,0.078125,b,standard,standard
97,97,00:10:00,G,15,635.02,RNAseT_added,,b,DNA-RNA,none
98,98,00:10:00,H,15,8.62,RNAseT_added,,b,RNA,RNAseH
99,99,00:10:00,I,15,8.62,no_RNAse_T,,b,RNA,DNAse1
100,100,00:10:00,E,17,66.08800000000001,standard,0.0390625,a,standard,standard
101,101,00:10:00,F,17,74.708,standard,0.0390625,b,standard,standard
102,102,00:10:00,G,17,2.873,RNAseT_added,,a,RNA,none
103,103,00:10:00,H,17,5.747000000000001,RNAseT_added,,a,H20,DNAse1
104,104,00:10:00,I,17,5.747000000000001,no_RNAse_T,,a,RNA,RNAseH
105,105,00:10:00,E,19,43.101000000000006,standard,0.0195312,a,standard,standard
106,106,00:10:00,F,19,63.215,standard,0.0195312,b,standard,standard
107,107,00:10:00,G,19,0.0,RNAseT_added,,b,RNA,none
108,108,00:10:00,H,19,0.0,RNAseT_added,,b,H20,DNAse1
109,109,00:10:00,I,19,8.62,no_RNAse_T,,b,RNA,RNAseH
110,110,00:10:00,E,21,45.974,standard,0.0097656,a,standard,standard
111,111,00:10:00,F,21,100.569,standard,0.0097656,b,standard,standard
112,112,00:10:00,G,21,54.595,RNAseT_added,,a,RNA,heat
113,113,00:10:00,H,21,5.747000000000001,RNAseT_added,,a,H20,RNAseH
114,114,00:10:00,I,21,2.873,no_RNAse_T,,a,RNA,none
115,115,00:10:00,E,23,57.468,standard,0,a,standard,standard
116,116,00:10:00,F,23,43.101000000000006,standard,0,b,standard,standard
117,117,00:10:00,G,23,43.101000000000006,RNAseT_added,,b,RNA,heat
118,118,00:10:00,H,23,8.62,RNAseT_added,,b,H20,RNAseH
119,119,00:10:00,I,23,5.747000000000001,no_RNAse_T,,b,RNA,none
120,120,00:20:00,E,1,7158.169,standard,10,a,standard,standard
121,121,00:20:00,F,1,6655.892,standard,10,b,standard,standard
122,122,00:20:00,G,1,63.143,RNAseT_added,,a,DNA-RNA,heat
123,123,00:20:00,H,1,60.273,RNAseT_added,,a,RNA,heat-DNAse1-buffer
124,124,00:20:00,I,1,8.61,no_RNAse_T,,a,DNA-RNA,DNAse1
125,125,00:20:00,E,3,4299.4940000000015,standard,5,a,standard,standard
126,126,00:20:00,F,3,4064.141,standard,5,b,standard,standard
127,127,00:20:00,G,3,57.403,RNAseT_added,,b,DNA-RNA,heat
128,128,00:20:00,H,3,71.75399999999998,RNAseT_added,,b,RNA,heat-DNAse1-buffer
129,129,00:20:00,I,3,14.351,no_RNAse_T,,b,DNA-RNA,DNAse1
130,130,00:20:00,E,5,1885.693,standard,2.5,a,standard,standard
131,131,00:20:00,F,5,1742.185,standard,2.5,b,standard,standard
132,132,00:20:00,G,5,1354.714,RNAseT_added,,a,DNA-RNA,DNAse1
133,133,00:20:00,H,5,74.624,RNAseT_added,,a,RNA,heat-RNAse1-buffer
134,134,00:20:00,I,5,5.74,no_RNAse_T,,a,DNA-RNA,RNAseH
135,135,00:20:00,E,7,817.9939999999998,standard,1.25,a,standard,standard
136,136,00:20:00,F,7,774.942,standard,1.25,b,standard,standard
137,137,00:20:00,G,7,1096.4,RNAseT_added,,b,DNA-RNA,DNAse1
138,138,00:20:00,H,7,40.182,RNAseT_added,,b,RNA,heat-RNAse1-buffer
139,139,00:20:00,I,7,20.091,no_RNAse_T,,b,DNA-RNA,RNAseH
140,140,00:20:00,E,9,419.043,standard,0.625,a,standard,standard
141,141,00:20:00,F,9,444.874,standard,0.625,b,standard,standard
142,142,00:20:00,G,9,20.091,RNAseT_added,,a,DNA-RNA,RNAseH
143,143,00:20:00,H,9,14.351,RNAseT_added,,a,RNA,DNAse1
144,144,00:20:00,I,9,8.61,no_RNAse_T,,a,DNA-RNA,none
145,145,00:20:00,E,11,152.118,standard,0.3125,a,standard,standard
146,146,00:20:00,F,11,175.08,standard,0.3125,b,standard,standard
147,147,00:20:00,G,11,22.961,RNAseT_added,,b,DNA-RNA,RNAseH
148,148,00:20:00,H,11,5.74,RNAseT_added,,b,RNA,DNAse1
149,149,00:20:00,I,11,5.74,no_RNAse_T,,b,DNA-RNA,none
150,150,00:20:00,E,13,134.89700000000002,standard,0.15625,a,standard,standard
151,151,00:20:00,F,13,100.455,standard,0.15625,b,standard,standard
152,152,00:20:00,G,13,1024.646,RNAseT_added,,a,DNA-RNA,none
153,153,00:20:00,H,13,5.74,RNAseT_added,,a,RNA,RNAseH
154,154,00:20:00,I,13,5.74,no_RNAse_T,,a,RNA,DNAse1
155,155,00:20:00,E,15,88.975,standard,0.078125,a,standard,standard
156,156,00:20:00,F,15,83.235,standard,0.078125,b,standard,standard
157,157,00:20:00,G,15,769.202,RNAseT_added,,b,DNA-RNA,none
158,158,00:20:00,H,15,2.87,RNAseT_added,,b,RNA,RNAseH
159,159,00:20:00,I,15,5.74,no_RNAse_T,,b,RNA,DNAse1
160,160,00:20:00,E,17,97.585,standard,0.0390625,a,standard,standard
161,161,00:20:00,F,17,74.624,standard,0.0390625,b,standard,standard
162,162,00:20:00,G,17,8.61,RNAseT_added,,a,RNA,none
163,163,00:20:00,H,17,14.351,RNAseT_added,,a,H20,DNAse1
164,164,00:20:00,I,17,8.61,no_RNAse_T,,a,RNA,RNAseH
165,165,00:20:00,E,19,57.403,standard,0.0195312,a,standard,standard
166,166,00:20:00,F,19,60.273,standard,0.0195312,b,standard,standard
167,167,00:20:00,G,19,11.481,RNAseT_added,,b,RNA,none
168,168,00:20:00,H,19,0.0,RNAseT_added,,b,H20,DNAse1
169,169,00:20:00,I,19,2.87,no_RNAse_T,,b,RNA,RNAseH
170,170,00:20:00,E,21,63.143,standard,0.0097656,a,standard,standard
171,171,00:20:00,F,21,68.884,standard,0.0097656,b,standard,standard
172,172,00:20:00,G,21,80.36399999999998,RNAseT_added,,a,RNA,heat
173,173,00:20:00,H,21,11.481,RNAseT_added,,a,H20,RNAseH
174,174,00:20:00,I,21,2.87,no_RNAse_T,,a,RNA,none
175,175,00:20:00,E,23,83.235,standard,0,a,standard,standard
176,176,00:20:00,F,23,74.624,standard,0,b,standard,standard
177,177,00:20:00,G,23,43.052,RNAseT_added,,b,RNA,heat
178,178,00:20:00,H,23,2.87,RNAseT_added,,b,H20,RNAseH
179,179,00:20:00,I,23,5.74,no_RNAse_T,,b,RNA,none
180,180,00:30:00,E,1,7180.749,standard,10,a,standard,standard
181,181,00:30:00,F,1,6433.054,standard,10,b,standard,standard
182,182,00:30:00,G,1,83.397,RNAseT_added,,a,DNA-RNA,heat
183,183,00:30:00,H,1,63.267,RNAseT_added,,a,RNA,heat-DNAse1-buffer
184,184,00:30:00,I,1,2.8760000000000003,no_RNAse_T,,a,DNA-RNA,DNAse1
185,185,00:30:00,E,3,4155.459,standard,5,a,standard,standard
186,186,00:30:00,F,3,4043.305,standard,5,b,standard,standard
187,187,00:30:00,G,3,63.267,RNAseT_added,,b,DNA-RNA,heat
188,188,00:30:00,H,3,54.639,RNAseT_added,,b,RNA,heat-DNAse1-buffer
189,189,00:30:00,I,3,5.752000000000002,no_RNAse_T,,b,DNA-RNA,DNAse1
190,190,00:30:00,E,5,1831.853,standard,2.5,a,standard,standard
191,191,00:30:00,F,5,1944.007,standard,2.5,b,standard,standard
192,192,00:30:00,G,5,1527.023,RNAseT_added,,a,DNA-RNA,DNAse1
193,193,00:30:00,H,5,51.764,RNAseT_added,,a,RNA,heat-RNAse1-buffer
194,194,00:30:00,I,5,5.752000000000002,no_RNAse_T,,a,DNA-RNA,RNAseH
195,195,00:30:00,E,7,842.595,standard,1.25,a,standard,standard
196,196,00:30:00,F,7,851.222,standard,1.25,b,standard,standard
197,197,00:30:00,G,7,1141.673,RNAseT_added,,b,DNA-RNA,DNAse1
198,198,00:30:00,H,7,57.515,RNAseT_added,,b,RNA,heat-RNAse1-buffer
199,199,00:30:00,I,7,8.627,no_RNAse_T,,b,DNA-RNA,RNAseH
200,200,00:30:00,E,9,454.369,standard,0.625,a,standard,standard
201,201,00:30:00,F,9,445.741,standard,0.625,b,standard,standard
202,202,00:30:00,G,9,8.627,RNAseT_added,,a,DNA-RNA,RNAseH
203,203,00:30:00,H,9,8.627,RNAseT_added,,a,RNA,DNAse1
204,204,00:30:00,I,9,2.8760000000000003,no_RNAse_T,,a,DNA-RNA,none
205,205,00:30:00,E,11,198.427,standard,0.3125,a,standard,standard
206,206,00:30:00,F,11,204.178,standard,0.3125,b,standard,standard
207,207,00:30:00,G,11,14.379,RNAseT_added,,b,DNA-RNA,RNAseH
208,208,00:30:00,H,11,5.752000000000002,RNAseT_added,,b,RNA,DNAse1
209,209,00:30:00,I,11,5.752000000000002,no_RNAse_T,,b,DNA-RNA,none
210,210,00:30:00,E,13,126.533,standard,0.15625,a,standard,standard
211,211,00:30:00,F,13,115.03,standard,0.15625,b,standard,standard
212,212,00:30:00,G,13,1095.661,RNAseT_added,,a,DNA-RNA,none
213,213,00:30:00,H,13,2.8760000000000003,RNAseT_added,,a,RNA,RNAseH
214,214,00:30:00,I,13,2.8760000000000003,no_RNAse_T,,a,RNA,DNAse1
215,215,00:30:00,E,15,94.9,standard,0.078125,a,standard,standard
216,216,00:30:00,F,15,92.024,standard,0.078125,b,standard,standard
217,217,00:30:00,G,15,808.086,RNAseT_added,,b,DNA-RNA,none
218,218,00:30:00,H,15,20.13,RNAseT_added,,b,RNA,RNAseH
219,219,00:30:00,I,15,2.8760000000000003,no_RNAse_T,,b,RNA,DNAse1
220,220,00:30:00,E,17,92.024,standard,0.0390625,a,standard,standard
221,221,00:30:00,F,17,92.024,standard,0.0390625,b,standard,standard
222,222,00:30:00,G,17,8.627,RNAseT_added,,a,RNA,none
223,223,00:30:00,H,17,14.379,RNAseT_added,,a,H20,DNAse1
224,224,00:30:00,I,17,5.752000000000002,no_RNAse_T,,a,RNA,RNAseH
225,225,00:30:00,E,19,63.267,standard,0.0195312,a,standard,standard
226,226,00:30:00,F,19,69.018,standard,0.0195312,b,standard,standard
227,227,00:30:00,G,19,5.752000000000002,RNAseT_added,,b,RNA,none
228,228,00:30:00,H,19,17.255,RNAseT_added,,b,H20,DNAse1
229,229,00:30:00,I,19,2.8760000000000003,no_RNAse_T,,b,RNA,RNAseH
230,230,00:30:00,E,21,86.273,standard,0.0097656,a,standard,standard
231,231,00:30:00,F,21,83.397,standard,0.0097656,b,standard,standard
232,232,00:30:00,G,21,60.39100000000001,RNAseT_added,,a,RNA,heat
233,233,00:30:00,H,21,25.882,RNAseT_added,,a,H20,RNAseH
234,234,00:30:00,I,21,14.379,no_RNAse_T,,a,RNA,none
235,235,00:30:00,E,23,86.273,standard,0,a,standard,standard
236,236,00:30:00,F,23,54.639,standard,0,b,standard,standard
237,237,00:30:00,G,23,74.77,RNAseT_added,,b,RNA,heat
238,238,00:30:00,H,23,8.627,RNAseT_added,,b,H20,RNAseH
239,239,00:30:00,I,23,2.8760000000000003,no_RNAse_T,,b,RNA,none
240,240,00:40:00,E,1,7026.913000000001,standard,10,a,standard,standard
241,241,00:40:00,F,1,6396.219,standard,10,b,standard,standard
242,242,00:40:00,G,1,86.396,RNAseT_added,,a,DNA-RNA,heat
243,243,00:40:00,H,1,57.598,RNAseT_added,,a,RNA,heat-DNAse1-buffer
244,244,00:40:00,I,1,5.76,no_RNAse_T,,a,DNA-RNA,DNAse1
245,245,00:40:00,E,3,4118.231,standard,5,a,standard,standard
246,246,00:40:00,F,3,3801.445,standard,5,b,standard,standard
247,247,00:40:00,G,3,54.718,RNAseT_added,,b,DNA-RNA,heat
248,248,00:40:00,H,3,71.997,RNAseT_added,,b,RNA,heat-DNAse1-buffer
249,249,00:40:00,I,3,8.64,no_RNAse_T,,b,DNA-RNA,DNAse1
250,250,00:40:00,E,5,1860.404,standard,2.5,a,standard,standard
251,251,00:40:00,F,5,1989.999,standard,2.5,b,standard,standard
252,252,00:40:00,G,5,1414.0220000000004,RNAseT_added,,a,DNA-RNA,DNAse1
253,253,00:40:00,H,5,71.997,RNAseT_added,,a,RNA,heat-RNAse1-buffer
254,254,00:40:00,I,5,8.64,no_RNAse_T,,a,DNA-RNA,RNAseH
255,255,00:40:00,E,7,812.127,standard,1.25,a,standard,standard
256,256,00:40:00,F,7,863.965,standard,1.25,b,standard,standard
257,257,00:40:00,G,7,1267.148,RNAseT_added,,b,DNA-RNA,DNAse1
258,258,00:40:00,H,7,71.997,RNAseT_added,,b,RNA,heat-RNAse1-buffer
259,259,00:40:00,I,7,5.76,no_RNAse_T,,b,DNA-RNA,RNAseH
260,260,00:40:00,E,9,512.619,standard,0.625,a,standard,standard
261,261,00:40:00,F,9,463.661,standard,0.625,b,standard,standard
262,262,00:40:00,G,9,14.399,RNAseT_added,,a,DNA-RNA,RNAseH
263,263,00:40:00,H,9,2.88,RNAseT_added,,a,RNA,DNAse1
264,264,00:40:00,I,9,0.0,no_RNAse_T,,a,DNA-RNA,none
265,265,00:40:00,E,11,204.472,standard,0.3125,a,standard,standard
266,266,00:40:00,F,11,244.79,standard,0.3125,b,standard,standard
267,267,00:40:00,G,11,14.399,RNAseT_added,,b,DNA-RNA,RNAseH
268,268,00:40:00,H,11,2.88,RNAseT_added,,b,RNA,DNAse1
269,269,00:40:00,I,11,5.76,no_RNAse_T,,b,DNA-RNA,none
270,270,00:40:00,E,13,129.595,standard,0.15625,a,standard,standard
271,271,00:40:00,F,13,123.835,standard,0.15625,b,standard,standard
272,272,00:40:00,G,13,1151.953,RNAseT_added,,a,DNA-RNA,none
273,273,00:40:00,H,13,2.88,RNAseT_added,,a,RNA,RNAseH
274,274,00:40:00,I,13,2.88,no_RNAse_T,,a,RNA,DNAse1
275,275,00:40:00,E,15,126.715,standard,0.078125,a,standard,standard
276,276,00:40:00,F,15,100.796,standard,0.078125,b,standard,standard
277,277,00:40:00,G,15,826.5260000000002,RNAseT_added,,b,DNA-RNA,none
278,278,00:40:00,H,15,8.64,RNAseT_added,,b,RNA,RNAseH
279,279,00:40:00,I,15,8.64,no_RNAse_T,,b,RNA,DNAse1
280,280,00:40:00,E,17,77.757,standard,0.0390625,a,standard,standard
281,281,00:40:00,F,17,46.078,standard,0.0390625,b,standard,standard
282,282,00:40:00,G,17,14.399,RNAseT_added,,a,RNA,none
283,283,00:40:00,H,17,17.279,RNAseT_added,,a,H20,DNAse1
284,284,00:40:00,I,17,0.0,no_RNAse_T,,a,RNA,RNAseH
285,285,00:40:00,E,19,69.117,standard,0.0195312,a,standard,standard
286,286,00:40:00,F,19,95.036,standard,0.0195312,b,standard,standard
287,287,00:40:00,G,19,2.88,RNAseT_added,,b,RNA,none
288,288,00:40:00,H,19,2.88,RNAseT_added,,b,H20,DNAse1
289,289,00:40:00,I,19,2.88,no_RNAse_T,,b,RNA,RNAseH
290,290,00:40:00,E,21,60.478,standard,0.0097656,a,standard,standard
291,291,00:40:00,F,21,60.478,standard,0.0097656,b,standard,standard
292,292,00:40:00,G,21,66.237,RNAseT_added,,a,RNA,heat
293,293,00:40:00,H,21,0.0,RNAseT_added,,a,H20,RNAseH
294,294,00:40:00,I,21,11.52,no_RNAse_T,,a,RNA,none
295,295,00:40:00,E,23,60.478,standard,0,a,standard,standard
296,296,00:40:00,F,23,71.997,standard,0,b,standard,standard
297,297,00:40:00,G,23,51.838,RNAseT_added,,b,RNA,heat
298,298,00:40:00,H,23,2.88,RNAseT_added,,b,H20,RNAseH
299,299,00:40:00,I,23,11.52,no_RNAse_T,,b,RNA,none
300,300,00:50:00,E,1,6483.021,standard,10,a,standard,standard
301,301,00:50:00,F,1,6198.021,standard,10,b,standard,standard
302,302,00:50:00,G,1,86.36399999999998,RNAseT_added,,a,DNA-RNA,heat
303,303,00:50:00,H,1,63.333,RNAseT_added,,a,RNA,heat-DNAse1-buffer
304,304,00:50:00,I,1,25.909,no_RNAse_T,,a,DNA-RNA,DNAse1
305,305,00:50:00,E,3,3912.267,standard,5,a,standard,standard
306,306,00:50:00,F,3,3463.177,standard,5,b,standard,standard
307,307,00:50:00,G,3,66.212,RNAseT_added,,b,DNA-RNA,heat
308,308,00:50:00,H,3,51.81800000000001,RNAseT_added,,b,RNA,heat-DNAse1-buffer
309,309,00:50:00,I,3,2.879,no_RNAse_T,,b,DNA-RNA,DNAse1
310,310,00:50:00,E,5,1839.543,standard,2.5,a,standard,standard
311,311,00:50:00,F,5,1969.088,standard,2.5,b,standard,standard
312,312,00:50:00,G,5,1234.998,RNAseT_added,,a,DNA-RNA,DNAse1
313,313,00:50:00,H,5,74.848,RNAseT_added,,a,RNA,heat-RNAse1-buffer
314,314,00:50:00,I,5,8.636000000000001,no_RNAse_T,,a,DNA-RNA,RNAseH
315,315,00:50:00,E,7,783.029,standard,1.25,a,standard,standard
316,316,00:50:00,F,7,886.665,standard,1.25,b,standard,standard
317,317,00:50:00,G,7,1163.029,RNAseT_added,,b,DNA-RNA,DNAse1
318,318,00:50:00,H,7,48.93899999999999,RNAseT_added,,b,RNA,heat-RNAse1-buffer
319,319,00:50:00,I,7,0.0,no_RNAse_T,,b,DNA-RNA,RNAseH
320,320,00:50:00,E,9,460.605,standard,0.625,a,standard,standard
321,321,00:50:00,F,9,546.969,standard,0.625,b,standard,standard
322,322,00:50:00,G,9,20.151,RNAseT_added,,a,DNA-RNA,RNAseH
323,323,00:50:00,H,9,0.0,RNAseT_added,,a,RNA,DNAse1
324,324,00:50:00,I,9,5.757999999999999,no_RNAse_T,,a,DNA-RNA,none
325,325,00:50:00,E,11,244.697,standard,0.3125,a,standard,standard
326,326,00:50:00,F,11,244.697,standard,0.3125,b,standard,standard
327,327,00:50:00,G,11,14.394,RNAseT_added,,b,DNA-RNA,RNAseH
328,328,00:50:00,H,11,0.0,RNAseT_added,,b,RNA,DNAse1
329,329,00:50:00,I,11,8.636000000000001,no_RNAse_T,,b,DNA-RNA,none
330,330,00:50:00,E,13,120.909,standard,0.15625,a,standard,standard
331,331,00:50:00,F,13,112.273,standard,0.15625,b,standard,standard
332,332,00:50:00,G,13,1139.998,RNAseT_added,,a,DNA-RNA,none
333,333,00:50:00,H,13,5.757999999999999,RNAseT_added,,a,RNA,RNAseH
334,334,00:50:00,I,13,17.273,no_RNAse_T,,a,RNA,DNAse1
335,335,00:50:00,E,15,97.879,standard,0.078125,a,standard,standard
336,336,00:50:00,F,15,60.45399999999999,standard,0.078125,b,standard,standard
337,337,00:50:00,G,15,880.908,RNAseT_added,,b,DNA-RNA,none
338,338,00:50:00,H,15,11.515,RNAseT_added,,b,RNA,RNAseH
339,339,00:50:00,I,15,2.879,no_RNAse_T,,b,RNA,DNAse1
340,340,00:50:00,E,17,83.485,standard,0.0390625,a,standard,standard
341,341,00:50:00,F,17,103.636,standard,0.0390625,b,standard,standard
342,342,00:50:00,G,17,8.636000000000001,RNAseT_added,,a,RNA,none
343,343,00:50:00,H,17,17.273,RNAseT_added,,a,H20,DNAse1
344,344,00:50:00,I,17,0.0,no_RNAse_T,,a,RNA,RNAseH
345,345,00:50:00,E,19,54.697,standard,0.0195312,a,standard,standard
346,346,00:50:00,F,19,106.515,standard,0.0195312,b,standard,standard
347,347,00:50:00,G,19,5.757999999999999,RNAseT_added,,b,RNA,none
348,348,00:50:00,H,19,0.0,RNAseT_added,,b,H20,DNAse1
349,349,00:50:00,I,19,5.757999999999999,no_RNAse_T,,b,RNA,RNAseH
350,350,00:50:00,E,21,66.212,standard,0.0097656,a,standard,standard
351,351,00:50:00,F,21,92.121,standard,0.0097656,b,standard,standard
352,352,00:50:00,G,21,74.848,RNAseT_added,,a,RNA,heat
353,353,00:50:00,H,21,8.636000000000001,RNAseT_added,,a,H20,RNAseH
354,354,00:50:00,I,21,2.879,no_RNAse_T,,a,RNA,none
355,355,00:50:00,E,23,77.727,standard,0,a,standard,standard
356,356,00:50:00,F,23,92.121,standard,0,b,standard,standard
357,357,00:50:00,G,23,57.576,RNAseT_added,,b,RNA,heat
358,358,00:50:00,H,23,2.879,RNAseT_added,,b,H20,RNAseH
359,359,00:50:00,I,23,5.757999999999999,no_RNAse_T,,b,RNA,none
360,360,01:00:00,E,1,6065.6680000000015,standard,10,a,standard,standard
361,361,01:00:00,F,1,5973.458000000001,standard,10,b,standard,standard
362,362,01:00:00,G,1,86.447,RNAseT_added,,a,DNA-RNA,heat
