,Unnamed: 0,time,row_384,column_384,rfu_value,sample_set,standard_conc,gRNA_used,gRNA_description,replicate
28,28,00:00:00,E,7,470.322,standard,1.25,standard,standard,a
29,29,00:00:00,F,7,533.031,standard,1.25,standard,standard,b
30,30,00:00:00,G,7,470.322,standard,1.25,standard,standard,c
31,31,00:00:00,H,7,0.0,no_sample,,,,d
32,32,00:00:00,A,9,433.266,target_added,,C11,IVT guide,a
33,33,00:00:00,B,9,2.85,no_RNAse,,C11,IVT guide,a
34,34,00:00:00,C,9,279.343,no_target,,C11,IVT guide,a
35,35,00:00:00,D,9,2.85,no_gRNA,,C11,IVT guide,a
36,36,00:00:00,E,9,242.287,standard,0.625,standard,standard,a
37,37,00:00:00,F,9,230.885,standard,0.625,standard,standard,b
38,38,00:00:00,G,9,182.428,standard,0.625,standard,standard,c
39,39,00:00:00,H,9,2.85,no_sample,,,,d
40,40,00:00:00,A,11,2.85,target_added,,C11_syn,synthetic guide,a
41,41,00:00:00,B,11,0.0,no_RNAse,,C11_syn,synthetic guide,a
42,42,00:00:00,C,11,5.7010000000000005,no_target,,C11_syn,synthetic guide,a
43,43,00:00:00,D,11,5.7010000000000005,no_gRNA,,C11_syn,synthetic guide,a
44,44,00:00:00,E,11,116.868,standard,0.3125,standard,standard,a
45,45,00:00:00,F,11,116.868,standard,0.3125,standard,standard,b
46,46,00:00:00,G,11,65.56,standard,0.3125,standard,standard,c
47,47,00:00:00,H,11,2.85,no_sample,,,,d
48,48,00:00:00,A,13,3836.685,target_added,,G8,guide with 5As before 2Cs,b
49,49,00:00:00,B,13,8.551,no_RNAse,,G8,guide with 5As before 2Cs,b
50,50,00:00:00,C,13,1676.056,no_target,,G8,guide with 5As before 2Cs,b
51,51,00:00:00,D,13,2.85,no_gRNA,,G8,guide with 5As before 2Cs,b
52,52,00:00:00,E,13,119.718,standard,0.15625,standard,standard,a
53,53,00:00:00,F,13,176.727,standard,0.15625,standard,standard,b
54,54,00:00:00,G,13,65.56,standard,0.15625,standard,standard,c
55,55,00:00:00,H,13,0.0,no_sample,,,,d
56,56,00:00:00,A,15,1753.017,target_added,,H6,guide with 2Cs,b
57,57,00:00:00,B,15,25.654,no_RNAse,,H6,guide with 2Cs,b
58,58,00:00:00,C,15,1299.798,no_target,,H6,guide with 2Cs,b
59,59,00:00:00,D,15,0.0,no_gRNA,,H6,guide with 2Cs,b
60,60,00:00:00,E,15,68.41,standard,0.078125,standard,standard,a
61,61,00:00:00,F,15,48.457,standard,0.078125,standard,standard,b
62,62,00:00:00,G,15,57.00899999999999,standard,0.078125,standard,standard,c
63,63,00:00:00,H,15,2.85,no_sample,,,,d
64,64,00:00:00,A,17,712.6089999999998,target_added,,C4,guide with 3Cs,b
65,65,00:00:00,B,17,11.402,no_RNAse,,C4,guide with 3Cs,b
66,66,00:00:00,C,17,601.442,no_target,,C4,guide with 3Cs,b
67,67,00:00:00,D,17,19.953,no_gRNA,,C4,guide with 3Cs,b
68,68,00:00:00,E,17,45.607,standard,0.0390625,standard,standard,a
69,69,00:00:00,F,17,91.214,standard,0.0390625,standard,standard,b
70,70,00:00:00,G,17,39.906,standard,0.0390625,standard,standard,c
71,71,00:00:00,H,17,5.7010000000000005,no_sample,,,,d
72,72,00:00:00,A,19,2474.177,target_added,,D9,guide with 3Cs,b
73,73,00:00:00,B,19,5.7010000000000005,no_RNAse,,D9,guide with 3Cs,b
74,74,00:00:00,C,19,1034.708,no_target,,D9,guide with 3Cs,b
75,75,00:00:00,D,19,2.85,no_gRNA,,D9,guide with 3Cs,b
76,76,00:00:00,E,19,42.757,standard,0.0195312,standard,standard,a
77,77,00:00:00,F,19,34.205,standard,0.0195312,standard,standard,b
78,78,00:00:00,G,19,31.355,standard,0.0195312,standard,standard,c
79,79,00:00:00,H,19,5.7010000000000005,no_sample,,,,d
80,80,00:00:00,A,21,601.442,target_added,,C11,IVT guide,b
81,81,00:00:00,B,21,8.551,no_RNAse,,C11,IVT guide,b
82,82,00:00:00,C,21,333.501,no_target,,C11,IVT guide,b
83,83,00:00:00,D,21,11.402,no_gRNA,,C11,IVT guide,b
84,84,00:00:00,E,21,42.757,standard,0.0097656,standard,standard,a
85,85,00:00:00,F,21,42.757,standard,0.0097656,standard,standard,b
86,86,00:00:00,G,21,142.52200000000005,standard,0.0097656,standard,standard,c
87,87,00:00:00,H,21,8.551,no_sample,,,,d
88,88,00:00:00,A,23,14.252,target_added,,C11_syn,synthetic guide,b
89,89,00:00:00,B,23,5.7010000000000005,no_RNAse,,C11_syn,synthetic guide,b
90,90,00:00:00,C,23,2.85,no_target,,C11_syn,synthetic guide,b
91,91,00:00:00,D,23,5.7010000000000005,no_gRNA,,C11_syn,synthetic guide,b
92,92,00:00:00,E,23,39.906,standard,0,standard,standard,a
93,93,00:00:00,F,23,37.056,standard,0,standard,standard,b
94,94,00:00:00,G,23,31.355,standard,0,standard,standard,c
95,95,00:00:00,H,23,2.85,no_sample,,,,d
96,96,00:10:00,A,1,1665.865,target_added,,G8,guide with 5As before 2Cs,a
97,97,00:10:00,B,1,20.351,no_RNAse,,G8,guide with 5As before 2Cs,a
98,98,00:10:00,C,1,1302.456,no_target,,G8,guide with 5As before 2Cs,a
99,99,00:10:00,D,1,17.444000000000006,no_gRNA,,G8,guide with 5As before 2Cs,a
100,100,00:10:00,E,1,7021.054,standard,10,standard,standard,a
101,101,00:10:00,F,1,6875.69,standard,10,standard,standard,b
102,102,00:10:00,G,1,6677.996,standard,10,standard,standard,c
103,103,00:10:00,H,1,14.536,degraded_target,,,,d
104,104,00:10:00,A,3,1314.085,target_added,,H6,guide with 2Cs,a
105,105,00:10:00,B,3,11.629,no_RNAse,,H6,guide with 2Cs,a
106,106,00:10:00,C,3,1046.617,no_target,,H6,guide with 2Cs,a
107,107,00:10:00,D,3,8.722000000000001,no_gRNA,,H6,guide with 2Cs,a
108,108,00:10:00,E,3,4017.845,standard,5,standard,standard,a
109,109,00:10:00,F,3,4006.216,standard,5,standard,standard,b
110,110,00:10:00,G,3,3855.038,standard,5,standard,standard,c
111,111,00:10:00,H,3,14.536,degraded_target,,,,d
112,112,00:10:00,A,5,662.857,target_added,,C4,guide with 3Cs,a
113,113,00:10:00,B,5,8.722000000000001,no_RNAse,,C4,guide with 3Cs,a
114,114,00:10:00,C,5,566.9169999999998,no_target,,C4,guide with 3Cs,a
115,115,00:10:00,D,5,5.815,no_gRNA,,C4,guide with 3Cs,a
116,116,00:10:00,E,5,1828.672,standard,2.5,standard,standard,a
117,117,00:10:00,F,5,1854.837,standard,2.5,standard,standard,b
118,118,00:10:00,G,5,1715.289,standard,2.5,standard,standard,c
119,119,00:10:00,H,5,2.907,no_sample,,,,d
120,120,00:10:00,A,7,1674.5870000000002,target_added,,D9,guide with 3Cs,a
121,121,00:10:00,B,7,11.629,no_RNAse,,D9,guide with 3Cs,a
122,122,00:10:00,C,7,1206.517,no_target,,D9,guide with 3Cs,a
123,123,00:10:00,D,7,8.722000000000001,no_gRNA,,D9,guide with 3Cs,a
124,124,00:10:00,E,7,773.3330000000002,standard,1.25,standard,standard,a
125,125,00:10:00,F,7,677.3939999999999,standard,1.25,standard,standard,b
126,126,00:10:00,G,7,831.4789999999998,standard,1.25,standard,standard,c
127,127,00:10:00,H,7,14.536,no_sample,,,,d
128,128,00:10:00,A,9,540.752,target_added,,C11,IVT guide,a
129,129,00:10:00,B,9,17.444000000000006,no_RNAse,,C11,IVT guide,a
130,130,00:10:00,C,9,514.587,no_target,,C11,IVT guide,a
131,131,00:10:00,D,9,8.722000000000001,no_gRNA,,C11,IVT guide,a
132,132,00:10:00,E,9,401.203,standard,0.625,standard,standard,a
133,133,00:10:00,F,9,328.521,standard,0.625,standard,standard,b
134,134,00:10:00,G,9,255.84,standard,0.625,standard,standard,c
135,135,00:10:00,H,9,20.351,no_sample,,,,d
136,136,00:10:00,A,11,8.722000000000001,target_added,,C11_syn,synthetic guide,a
137,137,00:10:00,B,11,5.815,no_RNAse,,C11_syn,synthetic guide,a
138,138,00:10:00,C,11,11.629,no_target,,C11_syn,synthetic guide,a
139,139,00:10:00,D,11,8.722000000000001,no_gRNA,,C11_syn,synthetic guide,a
140,140,00:10:00,E,11,171.52900000000002,standard,0.3125,standard,standard,a
141,141,00:10:00,F,11,171.52900000000002,standard,0.3125,standard,standard,b
142,142,00:10:00,G,11,127.92,standard,0.3125,standard,standard,c
143,143,00:10:00,H,11,2.907,no_sample,,,,d
144,144,00:10:00,A,13,3907.369,target_added,,G8,guide with 5As before 2Cs,b
145,145,00:10:00,B,13,23.258000000000006,no_RNAse,,G8,guide with 5As before 2Cs,b
146,146,00:10:00,C,13,1735.639,no_target,,G8,guide with 5As before 2Cs,b
147,147,00:10:00,D,13,14.536,no_gRNA,,G8,guide with 5As before 2Cs,b
148,148,00:10:00,E,13,168.622,standard,0.15625,standard,standard,a
149,149,00:10:00,F,13,156.993,standard,0.15625,standard,standard,b
150,150,00:10:00,G,13,90.125,standard,0.15625,standard,standard,c
151,151,00:10:00,H,13,0.0,no_sample,,,,d
152,152,00:10:00,A,15,1988.572,target_added,,H6,guide with 2Cs,b
153,153,00:10:00,B,15,8.722000000000001,no_RNAse,,H6,guide with 2Cs,b
154,154,00:10:00,C,15,1590.276,no_target,,H6,guide with 2Cs,b
155,155,00:10:00,D,15,14.536,no_gRNA,,H6,guide with 2Cs,b
156,156,00:10:00,E,15,72.682,standard,0.078125,standard,standard,a
157,157,00:10:00,F,15,90.125,standard,0.078125,standard,standard,b
158,158,00:10:00,G,15,75.589,standard,0.078125,standard,standard,c
159,159,00:10:00,H,15,2.907,no_sample,,,,d
160,160,00:10:00,A,17,770.426,target_added,,C4,guide with 3Cs,b
161,161,00:10:00,B,17,5.815,no_RNAse,,C4,guide with 3Cs,b
162,162,00:10:00,C,17,808.221,no_target,,C4,guide with 3Cs,b
163,163,00:10:00,D,17,5.815,no_gRNA,,C4,guide with 3Cs,b
164,164,00:10:00,E,17,61.053,standard,0.0390625,standard,standard,a
165,165,00:10:00,F,17,72.682,standard,0.0390625,standard,standard,b
166,166,00:10:00,G,17,40.702,standard,0.0390625,standard,standard,c
167,167,00:10:00,H,17,5.815,no_sample,,,,d
168,168,00:10:00,A,19,2511.88,target_added,,D9,guide with 3Cs,b
169,169,00:10:00,B,19,5.815,no_RNAse,,D9,guide with 3Cs,b
170,170,00:10:00,C,19,1386.767,no_target,,D9,guide with 3Cs,b
171,171,00:10:00,D,19,11.629,no_gRNA,,D9,guide with 3Cs,b
172,172,00:10:00,E,19,81.404,standard,0.0195312,standard,standard,a
173,173,00:10:00,F,19,61.053,standard,0.0195312,standard,standard,b
174,174,00:10:00,G,19,107.569,standard,0.0195312,standard,standard,c
175,175,00:10:00,H,19,5.815,no_sample,,,,d
176,176,00:10:00,A,21,616.341,target_added,,C11,IVT guide,b
177,177,00:10:00,B,21,11.629,no_RNAse,,C11,IVT guide,b
178,178,00:10:00,C,21,534.937,no_target,,C11,IVT guide,b
179,179,00:10:00,D,21,17.444000000000006,no_gRNA,,C11,IVT guide,b
180,180,00:10:00,E,21,55.238,standard,0.0097656,standard,standard,a
181,181,00:10:00,F,21,46.51600000000001,standard,0.0097656,standard,standard,b
182,182,00:10:00,G,21,122.105,standard,0.0097656,standard,standard,c
183,183,00:10:00,H,21,11.629,no_sample,,,,d
184,184,00:10:00,A,23,2.907,target_added,,C11_syn,synthetic guide,b
185,185,00:10:00,B,23,2.907,no_RNAse,,C11_syn,synthetic guide,b
186,186,00:10:00,C,23,5.815,no_target,,C11_syn,synthetic guide,b
187,187,00:10:00,D,23,0.0,no_gRNA,,C11_syn,synthetic guide,b
188,188,00:10:00,E,23,43.609,standard,0,standard,standard,a
189,189,00:10:00,F,23,69.774,standard,0,standard,standard,b
190,190,00:10:00,G,23,72.682,standard,0,standard,standard,c
191,191,00:10:00,H,23,5.815,no_sample,,,,d
192,192,00:20:00,A,1,1944.913,target_added,,G8,guide with 5As before 2Cs,a
193,193,00:20:00,B,1,17.522000000000002,no_RNAse,,G8,guide with 5As before 2Cs,a
194,194,00:20:00,C,1,1687.928,no_target,,G8,guide with 5As before 2Cs,a
195,195,00:20:00,D,1,8.761000000000001,no_gRNA,,G8,guide with 5As before 2Cs,a
196,196,00:20:00,E,1,6979.4940000000015,standard,10,standard,standard,a
197,197,00:20:00,F,1,6815.958000000001,standard,10,standard,standard,b
198,198,00:20:00,G,1,6491.805,standard,10,standard,standard,c
199,199,00:20:00,H,1,8.761000000000001,degraded_target,,,,d
200,200,00:20:00,A,3,1439.703,target_added,,H6,guide with 2Cs,a
201,201,00:20:00,B,3,17.522000000000002,no_RNAse,,H6,guide with 2Cs,a
202,202,00:20:00,C,3,1214.841,no_target,,H6,guide with 2Cs,a
203,203,00:20:00,D,3,5.841,no_gRNA,,H6,guide with 2Cs,a
204,204,00:20:00,E,3,4228.58,standard,5,standard,standard,a
205,205,00:20:00,F,3,4146.812,standard,5,standard,standard,b
206,206,00:20:00,G,3,4167.254,standard,5,standard,standard,c
207,207,00:20:00,H,3,2.92,degraded_target,,,,d
208,208,00:20:00,A,5,735.913,target_added,,C4,guide with 3Cs,a
209,209,00:20:00,B,5,11.681,no_RNAse,,C4,guide with 3Cs,a
210,210,00:20:00,C,5,662.9060000000002,no_target,,C4,guide with 3Cs,a
211,211,00:20:00,D,5,11.681,no_gRNA,,C4,guide with 3Cs,a
212,212,00:20:00,E,5,2012.08,standard,2.5,standard,standard,a
213,213,00:20:00,F,5,2099.689,standard,2.5,standard,standard,b
214,214,00:20:00,G,5,1965.355,standard,2.5,standard,standard,c
215,215,00:20:00,H,5,5.841,no_sample,,,,d
216,216,00:20:00,A,7,1731.7320000000002,target_added,,D9,guide with 3Cs,a
217,217,00:20:00,B,7,14.601,no_RNAse,,D9,guide with 3Cs,a
218,218,00:20:00,C,7,1544.833,no_target,,D9,guide with 3Cs,a
219,219,00:20:00,D,7,2.92,no_gRNA,,D9,guide with 3Cs,a
220,220,00:20:00,E,7,954.935,standard,1.25,standard,standard,a
221,221,00:20:00,F,7,829.362,standard,1.25,standard,standard,b
222,222,00:20:00,G,7,879.007,standard,1.25,standard,standard,c
223,223,00:20:00,H,7,11.681,no_sample,,,,d
224,224,00:20:00,A,9,622.0219999999998,target_added,,C11,IVT guide,a
225,225,00:20:00,B,9,23.362,no_RNAse,,C11,IVT guide,a
226,226,00:20:00,C,9,563.616,no_target,,C11,IVT guide,a
227,227,00:20:00,D,9,2.92,no_gRNA,,C11,IVT guide,a
228,228,00:20:00,E,9,385.478,standard,0.625,standard,standard,a
229,229,00:20:00,F,9,452.645,standard,0.625,standard,standard,b
230,230,00:20:00,G,9,379.638,standard,0.625,standard,standard,c
231,231,00:20:00,H,9,11.681,no_sample,,,,d
232,232,00:20:00,A,11,2.92,target_added,,C11_syn,synthetic guide,a
233,233,00:20:00,B,11,0.0,no_RNAse,,C11_syn,synthetic guide,a
234,234,00:20:00,C,11,11.681,no_target,,C11_syn,synthetic guide,a
235,235,00:20:00,D,11,5.841,no_gRNA,,C11_syn,synthetic guide,a
236,236,00:20:00,E,11,175.217,standard,0.3125,standard,standard,a
237,237,00:20:00,F,11,183.978,standard,0.3125,standard,standard,b
238,238,00:20:00,G,11,169.377,standard,0.3125,standard,standard,c
239,239,00:20:00,H,11,2.92,no_sample,,,,d
240,240,00:20:00,A,13,4041.682,target_added,,G8,guide with 5As before 2Cs,b
241,241,00:20:00,B,13,20.442,no_RNAse,,G8,guide with 5As before 2Cs,b
242,242,00:20:00,C,13,2020.841,no_target,,G8,guide with 5As before 2Cs,b
243,243,00:20:00,D,13,8.761000000000001,no_gRNA,,G8,guide with 5As before 2Cs,b
244,244,00:20:00,E,13,154.775,standard,0.15625,standard,standard,a
245,245,00:20:00,F,13,154.775,standard,0.15625,standard,standard,b
246,246,00:20:00,G,13,122.652,standard,0.15625,standard,standard,c
247,247,00:20:00,H,13,2.92,no_sample,,,,d
248,248,00:20:00,A,15,1877.747,target_added,,H6,guide with 2Cs,b
249,249,00:20:00,B,15,8.761000000000001,no_RNAse,,H6,guide with 2Cs,b
250,250,00:20:00,C,15,1740.493,no_target,,H6,guide with 2Cs,b
251,251,00:20:00,D,15,5.841,no_gRNA,,H6,guide with 2Cs,b
252,252,00:20:00,E,15,73.007,standard,0.078125,standard,standard,a
253,253,00:20:00,F,15,99.29,standard,0.078125,standard,standard,b
254,254,00:20:00,G,15,84.68799999999997,standard,0.078125,standard,standard,c
255,255,00:20:00,H,15,8.761000000000001,no_sample,,,,d
256,256,00:20:00,A,17,975.377,target_added,,C4,guide with 3Cs,b
257,257,00:20:00,B,17,2.92,no_RNAse,,C4,guide with 3Cs,b
258,258,00:20:00,C,17,934.493,no_target,,C4,guide with 3Cs,b
259,259,00:20:00,D,17,2.92,no_gRNA,,C4,guide with 3Cs,b
260,260,00:20:00,E,17,81.768,standard,0.0390625,standard,standard,a
261,261,00:20:00,F,17,61.326,standard,0.0390625,standard,standard,b
262,262,00:20:00,G,17,64.24600000000001,standard,0.0390625,standard,standard,c
263,263,00:20:00,H,17,8.761000000000001,no_sample,,,,d
264,264,00:20:00,A,19,2724.631,target_added,,D9,guide with 3Cs,b
265,265,00:20:00,B,19,5.841,no_RNAse,,D9,guide with 3Cs,b
266,266,00:20:00,C,19,1433.862,no_target,,D9,guide with 3Cs,b
267,267,00:20:00,D,19,17.522000000000002,no_gRNA,,D9,guide with 3Cs,b
268,268,00:20:00,E,19,58.40600000000001,standard,0.0195312,standard,standard,a
269,269,00:20:00,F,19,46.725,standard,0.0195312,standard,standard,b
270,270,00:20:00,G,19,84.68799999999997,standard,0.0195312,standard,standard,c
271,271,00:20:00,H,19,5.841,no_sample,,,,d
272,272,00:20:00,A,21,692.1089999999998,target_added,,C11,IVT guide,b
273,273,00:20:00,B,21,2.92,no_RNAse,,C11,IVT guide,b
274,274,00:20:00,C,21,659.9860000000001,no_target,,C11,IVT guide,b
275,275,00:20:00,D,21,8.761000000000001,no_gRNA,,C11,IVT guide,b
276,276,00:20:00,E,21,52.565,standard,0.0097656,standard,standard,a
277,277,00:20:00,F,21,81.768,standard,0.0097656,standard,standard,b
278,278,00:20:00,G,21,151.855,standard,0.0097656,standard,standard,c
279,279,00:20:00,H,21,0.0,no_sample,,,,d
280,280,00:20:00,A,23,2.92,target_added,,C11_syn,synthetic guide,b
281,281,00:20:00,B,23,2.92,no_RNAse,,C11_syn,synthetic guide,b
282,282,00:20:00,C,23,2.92,no_target,,C11_syn,synthetic guide,b
283,283,00:20:00,D,23,2.92,no_gRNA,,C11_syn,synthetic guide,b
284,284,00:20:00,E,23,64.24600000000001,standard,0,standard,standard,a
285,285,00:20:00,F,23,46.725,standard,0,standard,standard,b
286,286,00:20:00,G,23,52.565,standard,0,standard,standard,c
287,287,00:20:00,H,23,11.681,no_sample,,,,d
288,288,00:30:00,A,1,1897.158,target_added,,G8,guide with 5As before 2Cs,a
289,289,00:30:00,B,1,14.616,no_RNAse,,G8,guide with 5As before 2Cs,a
290,290,00:30:00,C,1,1707.15,no_target,,G8,guide with 5As before 2Cs,a
291,291,00:30:00,D,1,5.846,no_gRNA,,G8,guide with 5As before 2Cs,a
292,292,00:30:00,E,1,6661.976,standard,10,standard,standard,a
293,293,00:30:00,F,1,6679.515,standard,10,standard,standard,b
294,294,00:30:00,G,1,6314.115,standard,10,standard,standard,c
295,295,00:30:00,H,1,2.923,degraded_target,,,,d
296,296,00:30:00,A,3,1464.524,target_added,,H6,guide with 2Cs,a
297,297,00:30:00,B,3,32.155,no_RNAse,,H6,guide with 2Cs,a
298,298,00:30:00,C,3,1309.594,no_target,,H6,guide with 2Cs,a
299,299,00:30:00,D,3,23.386,no_gRNA,,H6,guide with 2Cs,a
300,300,00:30:00,E,3,3996.017,standard,5,standard,standard,a
301,301,00:30:00,F,3,4183.102,standard,5,standard,standard,b
302,302,00:30:00,G,3,3914.167,standard,5,standard,standard,c
303,303,00:30:00,H,3,14.616,degraded_target,,,,d
304,304,00:30:00,A,5,789.2639999999999,target_added,,C4,guide with 3Cs,a
305,305,00:30:00,B,5,17.539,no_RNAse,,C4,guide with 3Cs,a
306,306,00:30:00,C,5,795.1110000000001,no_target,,C4,guide with 3Cs,a
307,307,00:30:00,D,5,11.693,no_gRNA,,C4,guide with 3Cs,a
308,308,00:30:00,E,5,2101.782,standard,2.5,standard,standard,a
309,309,00:30:00,F,5,2265.481,standard,2.5,standard,standard,b
310,310,00:30:00,G,5,2242.096,standard,2.5,standard,standard,c
311,311,00:30:00,H,5,5.846,no_sample,,,,d
312,312,00:30:00,A,7,2008.24,target_added,,D9,guide with 3Cs,a
313,313,00:30:00,B,7,23.386,no_RNAse,,D9,guide with 3Cs,a
314,314,00:30:00,C,7,1458.678,no_target,,D9,guide with 3Cs,a
315,315,00:30:00,D,7,11.693,no_gRNA,,D9,guide with 3Cs,a
316,316,00:30:00,E,7,964.656,standard,1.25,standard,standard,a
317,317,00:30:00,F,7,952.964,standard,1.25,standard,standard,b
318,318,00:30:00,G,7,932.501,standard,1.25,standard,standard,c
319,319,00:30:00,H,7,5.846,no_sample,,,,d
320,320,00:30:00,A,9,631.4119999999998,target_added,,C11,IVT guide,a
321,321,00:30:00,B,9,8.77,no_RNAse,,C11,IVT guide,a
322,322,00:30:00,C,9,572.948,no_target,,C11,IVT guide,a
323,323,00:30:00,D,9,11.693,no_gRNA,,C11,IVT guide,a
324,324,00:30:00,E,9,526.1759999999998,standard,0.625,standard,standard,a
325,325,00:30:00,F,9,412.171,standard,0.625,standard,standard,b
326,326,00:30:00,G,9,458.943,standard,0.625,standard,standard,c
327,327,00:30:00,H,9,5.846,no_sample,,,,d
328,328,00:30:00,A,11,26.309,target_added,,C11_syn,synthetic guide,a
329,329,00:30:00,B,11,17.539,no_RNAse,,C11_syn,synthetic guide,a
330,330,00:30:00,C,11,8.77,no_target,,C11_syn,synthetic guide,a
331,331,00:30:00,D,11,5.846,no_gRNA,,C11_syn,synthetic guide,a
332,332,00:30:00,E,11,257.242,standard,0.3125,standard,standard,a
333,333,00:30:00,F,11,248.472,standard,0.3125,standard,standard,b
334,334,00:30:00,G,11,239.703,standard,0.3125,standard,standard,c
335,335,00:30:00,H,11,14.616,no_sample,,,,d
336,336,00:30:00,A,13,3832.317,target_added,,G8,guide with 5As before 2Cs,b
337,337,00:30:00,B,13,23.386,no_RNAse,,G8,guide with 5As before 2Cs,b
338,338,00:30:00,C,13,2125.167,no_target,,G8,guide with 5As before 2Cs,b
339,339,00:30:00,D,13,0.0,no_gRNA,,G8,guide with 5As before 2Cs,b
340,340,00:30:00,E,13,143.237,standard,0.15625,standard,standard,a
341,341,00:30:00,F,13,201.701,standard,0.15625,standard,standard,b
342,342,00:30:00,G,13,99.389,standard,0.15625,standard,standard,c
343,343,00:30:00,H,13,5.846,no_sample,,,,d
344,344,00:30:00,A,15,2049.164,target_added,,H6,guide with 2Cs,b
345,345,00:30:00,B,15,5.846,no_RNAse,,H6,guide with 2Cs,b
346,346,00:30:00,C,15,1730.535,no_target,,H6,guide with 2Cs,b
347,347,00:30:00,D,15,26.309,no_gRNA,,H6,guide with 2Cs,b
348,348,00:30:00,E,15,96.466,standard,0.078125,standard,standard,a
349,349,00:30:00,F,15,108.158,standard,0.078125,standard,standard,b
350,350,00:30:00,G,15,102.312,standard,0.078125,standard,standard,c
351,351,00:30:00,H,15,17.539,no_sample,,,,d
352,352,00:30:00,A,17,1116.663,target_added,,C4,guide with 3Cs,b
353,353,00:30:00,B,17,2.923,no_RNAse,,C4,guide with 3Cs,b
354,354,00:30:00,C,17,1028.967,no_target,,C4,guide with 3Cs,b
355,355,00:30:00,D,17,5.846,no_gRNA,,C4,guide with 3Cs,b
356,356,00:30:00,E,17,64.31,standard,0.0390625,standard,standard,a
357,357,00:30:00,F,17,58.464,standard,0.0390625,standard,standard,b
358,358,00:30:00,G,17,73.08,standard,0.0390625,standard,standard,c
359,359,00:30:00,H,17,8.77,no_sample,,,,d
360,360,00:30:00,A,19,2861.8140000000008,target_added,,D9,guide with 3Cs,b
361,361,00:30:00,B,19,5.846,no_RNAse,,D9,guide with 3Cs,b
362,362,00:30:00,C,19,1566.836,no_target,,D9,guide with 3Cs,b
363,363,00:30:00,D,19,2.923,no_gRNA,,D9,guide with 3Cs,b
364,364,00:30:00,E,19,64.31,standard,0.0195312,standard,standard,a
365,365,00:30:00,F,19,67.234,standard,0.0195312,standard,standard,b
366,366,00:30:00,G,19,70.157,standard,0.0195312,standard,standard,c
367,367,00:30:00,H,19,8.77,no_sample,,,,d
368,368,00:30:00,A,21,654.797,target_added,,C11,IVT guide,b
369,369,00:30:00,B,21,14.616,no_RNAse,,C11,IVT guide,b
370,370,00:30:00,C,21,707.415,no_target,,C11,IVT guide,b
371,371,00:30:00,D,21,11.693,no_gRNA,,C11,IVT guide,b
372,372,00:30:00,E,21,70.157,standard,0.0097656,standard,standard,a
373,373,00:30:00,F,21,58.464,standard,0.0097656,standard,standard,b
374,374,00:30:00,G,21,128.621,standard,0.0097656,standard,standard,c
375,375,00:30:00,H,21,20.462,no_sample,,,,d
376,376,00:30:00,A,23,8.77,target_added,,C11_syn,synthetic guide,b
377,377,00:30:00,B,23,8.77,no_RNAse,,C11_syn,synthetic guide,b
378,378,00:30:00,C,23,2.923,no_target,,C11_syn,synthetic guide,b
379,379,00:30:00,D,23,0.0,no_gRNA,,C11_syn,synthetic guide,b
380,380,00:30:00,E,23,61.387,standard,0,standard,standard,a
381,381,00:30:00,F,23,78.926,standard,0,standard,standard,b
