,Unnamed: 0,time,row_384,column_384,rfu_value,replicate,sample_set,gRNA_used,target_added
151,151,00:30:00,O,2,2.734,a,control,B1,no_target
152,152,00:30:00,A,4,22.056,a,purified,B1,RPA_2_B1_16srRNA_10ng
153,153,00:30:00,C,4,6.63,a,purified,B1,RPA_2_B1_16srRNA_0.1ng
154,154,00:30:00,E,4,3.112,a,purified,B1,RPA_2_B1_16srRNA_0ng
155,155,00:30:00,G,4,42.258,a,purified,H6,RPA_48_H6_IS1081_10ng
156,156,00:30:00,I,4,58.0,a,purified,H6,RPA_48_H6_IS1081_0.1ng
157,157,00:30:00,K,4,3.159,a,purified,H6,RPA_48_H6_IS1081_0ng
158,158,00:30:00,M,4,19.149,a,control,H6,synthetic_H6
159,159,00:30:00,O,4,2.698,a,control,H6,no_target
160,160,00:30:00,A,6,143.203,b,unpurified,B1,RPA_2_B1_16srRNA_10ng
161,161,00:30:00,C,6,66.863,b,unpurified,B1,RPA_2_B1_16srRNA_0.1ng
162,162,00:30:00,E,6,3.9,b,unpurified,B1,RPA_2_B1_16srRNA_0ng
163,163,00:30:00,G,6,226.628,b,unpurified,H6,RPA_48_H6_IS1081_10ng
164,164,00:30:00,I,6,229.877,b,unpurified,H6,RPA_48_H6_IS1081_0.1ng
165,165,00:30:00,K,6,3.785,b,unpurified,H6,RPA_48_H6_IS1081_0ng
166,166,00:30:00,M,6,11.663,b,control,B1,synthetic_B1
167,167,00:30:00,O,6,2.728,b,control,B1,no_target
168,168,00:30:00,A,8,17.852,b,purified,B1,RPA_2_B1_16srRNA_10ng
169,169,00:30:00,C,8,6.151,b,purified,B1,RPA_2_B1_16srRNA_0.1ng
170,170,00:30:00,E,8,3.457,b,purified,B1,RPA_2_B1_16srRNA_0ng
171,171,00:30:00,G,8,34.568000000000005,b,purified,H6,RPA_48_H6_IS1081_10ng
172,172,00:30:00,I,8,44.243,b,purified,H6,RPA_48_H6_IS1081_0.1ng
173,173,00:30:00,K,8,3.071,b,purified,H6,RPA_48_H6_IS1081_0ng
174,174,00:30:00,M,8,25.005,b,control,H6,synthetic_H6
175,175,00:30:00,O,8,2.928,b,control,H6,no_target
176,176,00:30:00,A,10,17.31,a,2XBB,syn-11C,C11
177,177,00:30:00,C,10,25.7,a,2XBB,IVT-11C,C11
178,178,00:30:00,E,10,4.392,a,2XBB,syn-11C,no_target
179,179,00:30:00,G,10,4.351,a,2XBB,IVT-11C,no_target
180,180,00:30:00,I,10,319.886,a,NEB2.1,syn-11C,C11
181,181,00:30:00,K,10,443.653,a,NEB2.1,IVT-11C,C11
182,182,00:30:00,M,10,3.644,a,NEB2.1,syn-11C,no_target
183,183,00:30:00,O,10,12.008,a,NEB2.1,IVT-11C,no_target
184,184,00:30:00,A,12,15.172,b,2XBB,syn-11C,C11
185,185,00:30:00,C,12,21.905,b,2XBB,IVT-11C,C11
186,186,00:30:00,E,12,4.339,b,2XBB,syn-11C,no_target
187,187,00:30:00,G,12,4.276,b,2XBB,IVT-11C,no_target
188,188,00:30:00,I,12,299.493,b,NEB2.1,syn-11C,C11
189,189,00:30:00,K,12,423.346,b,NEB2.1,IVT-11C,C11
190,190,00:30:00,M,12,3.802,b,NEB2.1,syn-11C,no_target
191,191,00:30:00,O,12,11.449000000000002,b,NEB2.1,IVT-11C,no_target
192,192,00:40:00,A,2,185.227,a,unpurified,B1,RPA_2_B1_16srRNA_10ng
193,193,00:40:00,C,2,69.663,a,unpurified,B1,RPA_2_B1_16srRNA_0.1ng
194,194,00:40:00,E,2,3.553,a,unpurified,B1,RPA_2_B1_16srRNA_0ng
195,195,00:40:00,G,2,260.668,a,unpurified,H6,RPA_48_H6_IS1081_10ng
196,196,00:40:00,I,2,241.757,a,unpurified,H6,RPA_48_H6_IS1081_0.1ng
197,197,00:40:00,K,2,3.536,a,unpurified,H6,RPA_48_H6_IS1081_0ng
198,198,00:40:00,M,2,16.129,a,control,B1,synthetic_B1
199,199,00:40:00,O,2,2.972,a,control,B1,no_target
200,200,00:40:00,A,4,29.243,a,purified,B1,RPA_2_B1_16srRNA_10ng
201,201,00:40:00,C,4,8.167,a,purified,B1,RPA_2_B1_16srRNA_0.1ng
202,202,00:40:00,E,4,3.0980000000000003,a,purified,B1,RPA_2_B1_16srRNA_0ng
203,203,00:40:00,G,4,55.133,a,purified,H6,RPA_48_H6_IS1081_10ng
204,204,00:40:00,I,4,77.109,a,purified,H6,RPA_48_H6_IS1081_0.1ng
205,205,00:40:00,K,4,3.062,a,purified,H6,RPA_48_H6_IS1081_0ng
206,206,00:40:00,M,4,25.709,a,control,H6,synthetic_H6
207,207,00:40:00,O,4,2.82,a,control,H6,no_target
208,208,00:40:00,A,6,174.15400000000002,b,unpurified,B1,RPA_2_B1_16srRNA_10ng
209,209,00:40:00,C,6,85.411,b,unpurified,B1,RPA_2_B1_16srRNA_0.1ng
210,210,00:40:00,E,6,3.961,b,unpurified,B1,RPA_2_B1_16srRNA_0ng
211,211,00:40:00,G,6,251.626,b,unpurified,H6,RPA_48_H6_IS1081_10ng
212,212,00:40:00,I,6,256.219,b,unpurified,H6,RPA_48_H6_IS1081_0.1ng
213,213,00:40:00,K,6,3.816,b,unpurified,H6,RPA_48_H6_IS1081_0ng
214,214,00:40:00,M,6,14.942,b,control,B1,synthetic_B1
215,215,00:40:00,O,6,2.852,b,control,B1,no_target
216,216,00:40:00,A,8,23.667,b,purified,B1,RPA_2_B1_16srRNA_10ng
217,217,00:40:00,C,8,7.1320000000000014,b,purified,B1,RPA_2_B1_16srRNA_0.1ng
218,218,00:40:00,E,8,3.455,b,purified,B1,RPA_2_B1_16srRNA_0ng
219,219,00:40:00,G,8,46.198,b,purified,H6,RPA_48_H6_IS1081_10ng
220,220,00:40:00,I,8,60.495,b,purified,H6,RPA_48_H6_IS1081_0.1ng
221,221,00:40:00,K,8,3.033,b,purified,H6,RPA_48_H6_IS1081_0ng
222,222,00:40:00,M,8,34.543,b,control,H6,synthetic_H6
223,223,00:40:00,O,8,2.947,b,control,H6,no_target
224,224,00:40:00,A,10,21.955,a,2XBB,syn-11C,C11
225,225,00:40:00,C,10,34.251999999999995,a,2XBB,IVT-11C,C11
226,226,00:40:00,E,10,4.722,a,2XBB,syn-11C,no_target
227,227,00:40:00,G,10,4.8039999999999985,a,2XBB,IVT-11C,no_target
228,228,00:40:00,I,10,318.09,a,NEB2.1,syn-11C,C11
229,229,00:40:00,K,10,441.504,a,NEB2.1,IVT-11C,C11
230,230,00:40:00,M,10,3.719,a,NEB2.1,syn-11C,no_target
231,231,00:40:00,O,10,15.049,a,NEB2.1,IVT-11C,no_target
232,232,00:40:00,A,12,19.805,b,2XBB,syn-11C,C11
233,233,00:40:00,C,12,30.026,b,2XBB,IVT-11C,C11
234,234,00:40:00,E,12,4.2,b,2XBB,syn-11C,no_target
235,235,00:40:00,G,12,4.54,b,2XBB,IVT-11C,no_target
236,236,00:40:00,I,12,298.872,b,NEB2.1,syn-11C,C11
237,237,00:40:00,K,12,418.568,b,NEB2.1,IVT-11C,C11
238,238,00:40:00,M,12,3.766,b,NEB2.1,syn-11C,no_target
239,239,00:40:00,O,12,14.397,b,NEB2.1,IVT-11C,no_target
240,240,00:50:00,A,2,211.199,a,unpurified,B1,RPA_2_B1_16srRNA_10ng
241,241,00:50:00,C,2,83.87100000000002,a,unpurified,B1,RPA_2_B1_16srRNA_0.1ng
242,242,00:50:00,E,2,3.905,a,unpurified,B1,RPA_2_B1_16srRNA_0ng
243,243,00:50:00,G,2,265.031,a,unpurified,H6,RPA_48_H6_IS1081_10ng
244,244,00:50:00,I,2,259.757,a,unpurified,H6,RPA_48_H6_IS1081_0.1ng
245,245,00:50:00,K,2,3.596,a,unpurified,H6,RPA_48_H6_IS1081_0ng
246,246,00:50:00,M,2,20.825,a,control,B1,synthetic_B1
247,247,00:50:00,O,2,2.821,a,control,B1,no_target
248,248,00:50:00,A,4,37.04,a,purified,B1,RPA_2_B1_16srRNA_10ng
249,249,00:50:00,C,4,9.677,a,purified,B1,RPA_2_B1_16srRNA_0.1ng
250,250,00:50:00,E,4,3.065,a,purified,B1,RPA_2_B1_16srRNA_0ng
251,251,00:50:00,G,4,70.434,a,purified,H6,RPA_48_H6_IS1081_10ng
252,252,00:50:00,I,4,95.667,a,purified,H6,RPA_48_H6_IS1081_0.1ng
253,253,00:50:00,K,4,3.095,a,purified,H6,RPA_48_H6_IS1081_0ng
254,254,00:50:00,M,4,32.639,a,control,H6,synthetic_H6
255,255,00:50:00,O,4,2.7110000000000003,a,control,H6,no_target
256,256,00:50:00,A,6,201.306,b,unpurified,B1,RPA_2_B1_16srRNA_10ng
257,257,00:50:00,C,6,103.064,b,unpurified,B1,RPA_2_B1_16srRNA_0.1ng
258,258,00:50:00,E,6,3.852,b,unpurified,B1,RPA_2_B1_16srRNA_0ng
259,259,00:50:00,G,6,263.083,b,unpurified,H6,RPA_48_H6_IS1081_10ng
260,260,00:50:00,I,6,266.99,b,unpurified,H6,RPA_48_H6_IS1081_0.1ng
261,261,00:50:00,K,6,3.871,b,unpurified,H6,RPA_48_H6_IS1081_0ng
262,262,00:50:00,M,6,18.729,b,control,B1,synthetic_B1
263,263,00:50:00,O,6,2.883,b,control,B1,no_target
264,264,00:50:00,A,8,29.436,b,purified,B1,RPA_2_B1_16srRNA_10ng
265,265,00:50:00,C,8,8.335,b,purified,B1,RPA_2_B1_16srRNA_0.1ng
266,266,00:50:00,E,8,3.539,b,purified,B1,RPA_2_B1_16srRNA_0ng
267,267,00:50:00,G,8,59.78,b,purified,H6,RPA_48_H6_IS1081_10ng
268,268,00:50:00,I,8,78.84100000000002,b,purified,H6,RPA_48_H6_IS1081_0.1ng
269,269,00:50:00,K,8,3.239,b,purified,H6,RPA_48_H6_IS1081_0ng
270,270,00:50:00,M,8,43.988,b,control,H6,synthetic_H6
271,271,00:50:00,O,8,2.893,b,control,H6,no_target
272,272,00:50:00,A,10,27.824,a,2XBB,syn-11C,C11
273,273,00:50:00,C,10,43.736,a,2XBB,IVT-11C,C11
274,274,00:50:00,E,10,4.504,a,2XBB,syn-11C,no_target
275,275,00:50:00,G,10,4.493,a,2XBB,IVT-11C,no_target
276,276,00:50:00,I,10,313.626,a,NEB2.1,syn-11C,C11
277,277,00:50:00,K,10,434.847,a,NEB2.1,IVT-11C,C11
278,278,00:50:00,M,10,3.731,a,NEB2.1,syn-11C,no_target
279,279,00:50:00,O,10,17.371,a,NEB2.1,IVT-11C,no_target
280,280,00:50:00,A,12,25.876,b,2XBB,syn-11C,C11
281,281,00:50:00,C,12,38.078,b,2XBB,IVT-11C,C11
282,282,00:50:00,E,12,4.3439999999999985,b,2XBB,syn-11C,no_target
283,283,00:50:00,G,12,4.694,b,2XBB,IVT-11C,no_target
284,284,00:50:00,I,12,291.119,b,NEB2.1,syn-11C,C11
285,285,00:50:00,K,12,413.3730000000001,b,NEB2.1,IVT-11C,C11
286,286,00:50:00,M,12,3.637,b,NEB2.1,syn-11C,no_target
287,287,00:50:00,O,12,16.293,b,NEB2.1,IVT-11C,no_target
288,288,01:00:00,A,2,243.086,a,unpurified,B1,RPA_2_B1_16srRNA_10ng
289,289,01:00:00,C,2,101.723,a,unpurified,B1,RPA_2_B1_16srRNA_0.1ng
290,290,01:00:00,E,2,3.993,a,unpurified,B1,RPA_2_B1_16srRNA_0ng
291,291,01:00:00,G,2,275.642,a,unpurified,H6,RPA_48_H6_IS1081_10ng
292,292,01:00:00,I,2,272.286,a,unpurified,H6,RPA_48_H6_IS1081_0.1ng
293,293,01:00:00,K,2,3.686,a,unpurified,H6,RPA_48_H6_IS1081_0ng
294,294,01:00:00,M,2,26.456,a,control,B1,synthetic_B1
295,295,01:00:00,O,2,2.69,a,control,B1,no_target
296,296,01:00:00,A,4,46.06,a,purified,B1,RPA_2_B1_16srRNA_10ng
297,297,01:00:00,C,4,12.127,a,purified,B1,RPA_2_B1_16srRNA_0.1ng
298,298,01:00:00,E,4,3.176,a,purified,B1,RPA_2_B1_16srRNA_0ng
299,299,01:00:00,G,4,86.604,a,purified,H6,RPA_48_H6_IS1081_10ng
300,300,01:00:00,I,4,120.296,a,purified,H6,RPA_48_H6_IS1081_0.1ng
301,301,01:00:00,K,4,3.176,a,purified,H6,RPA_48_H6_IS1081_0ng
302,302,01:00:00,M,4,42.405,a,control,H6,synthetic_H6
303,303,01:00:00,O,4,2.8160000000000003,a,control,H6,no_target
304,304,01:00:00,A,6,225.491,b,unpurified,B1,RPA_2_B1_16srRNA_10ng
305,305,01:00:00,C,6,121.584,b,unpurified,B1,RPA_2_B1_16srRNA_0.1ng
306,306,01:00:00,E,6,4.204,b,unpurified,B1,RPA_2_B1_16srRNA_0ng
307,307,01:00:00,G,6,269.847,b,unpurified,H6,RPA_48_H6_IS1081_10ng
308,308,01:00:00,I,6,280.168,b,unpurified,H6,RPA_48_H6_IS1081_0.1ng
309,309,01:00:00,K,6,4.275,b,unpurified,H6,RPA_48_H6_IS1081_0ng
310,310,01:00:00,M,6,24.038,b,control,B1,synthetic_B1
311,311,01:00:00,O,6,2.935,b,control,B1,no_target
312,312,01:00:00,A,8,36.918,b,purified,B1,RPA_2_B1_16srRNA_10ng
313,313,01:00:00,C,8,9.747,b,purified,B1,RPA_2_B1_16srRNA_0.1ng
314,314,01:00:00,E,8,3.471,b,purified,B1,RPA_2_B1_16srRNA_0ng
315,315,01:00:00,G,8,75.20100000000002,b,purified,H6,RPA_48_H6_IS1081_10ng
316,316,01:00:00,I,8,100.383,b,purified,H6,RPA_48_H6_IS1081_0.1ng
317,317,01:00:00,K,8,3.104,b,purified,H6,RPA_48_H6_IS1081_0ng
318,318,01:00:00,M,8,56.806,b,control,H6,synthetic_H6
319,319,01:00:00,O,8,3.095,b,control,H6,no_target
320,320,01:00:00,A,10,35.821,a,2XBB,syn-11C,C11
321,321,01:00:00,C,10,55.3,a,2XBB,IVT-11C,C11
322,322,01:00:00,E,10,4.625,a,2XBB,syn-11C,no_target
323,323,01:00:00,G,10,4.381,a,2XBB,IVT-11C,no_target
324,324,01:00:00,I,10,314.986,a,NEB2.1,syn-11C,C11
325,325,01:00:00,K,10,432.001,a,NEB2.1,IVT-11C,C11
326,326,01:00:00,M,10,3.894,a,NEB2.1,syn-11C,no_target
327,327,01:00:00,O,10,20.356,a,NEB2.1,IVT-11C,no_target
328,328,01:00:00,A,12,32.089,b,2XBB,syn-11C,C11
329,329,01:00:00,C,12,48.515,b,2XBB,IVT-11C,C11
330,330,01:00:00,E,12,4.5710000000000015,b,2XBB,syn-11C,no_target
331,331,01:00:00,G,12,4.552,b,2XBB,IVT-11C,no_target
332,332,01:00:00,I,12,295.418,b,NEB2.1,syn-11C,C11
333,333,01:00:00,K,12,409.245,b,NEB2.1,IVT-11C,C11
334,334,01:00:00,M,12,3.782,b,NEB2.1,syn-11C,no_target
335,335,01:00:00,O,12,19.204,b,NEB2.1,IVT-11C,no_target
336,336,01:10:00,A,2,262.358,a,unpurified,B1,RPA_2_B1_16srRNA_10ng
337,337,01:10:00,C,2,118.54,a,unpurified,B1,RPA_2_B1_16srRNA_0.1ng
338,338,01:10:00,E,2,3.961,a,unpurified,B1,RPA_2_B1_16srRNA_0ng
339,339,01:10:00,G,2,277.427,a,unpurified,H6,RPA_48_H6_IS1081_10ng
340,340,01:10:00,I,2,284.0370000000001,a,unpurified,H6,RPA_48_H6_IS1081_0.1ng
