,experiment,read,read_number,row,column,well,rfu_value,standard_substrate,kit,minutes,concentration,concentration_moles
2,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,3,A,1,A1,18461100.0,ATP,ENLITEN_60s,0,10^-11mol/100nM,1E-11
3,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,4,A,1,A1,18335900.0,ATP,ENLITEN_60s,0,10^-11mol/100nM,1E-11
4,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,5,A,1,A1,18094100.0,ATP,ENLITEN_60s,0,10^-11mol/100nM,1E-11
5,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,6,A,1,A1,17876200.0,ATP,ENLITEN_60s,0,10^-11mol/100nM,1E-11
6,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,1,A,2,A2,50000000.0,ATP,ENLITEN_60s,0,10^-11mol/100nM,1E-11
7,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,2,A,2,A2,50000000.0,ATP,ENLITEN_60s,0,10^-11mol/100nM,1E-11
8,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,3,A,2,A2,50000000.0,ATP,ENLITEN_60s,0,10^-11mol/100nM,1E-11
9,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,4,A,2,A2,50000000.0,ATP,ENLITEN_60s,0,10^-11mol/100nM,1E-11
10,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,5,A,2,A2,50000000.0,ATP,ENLITEN_60s,0,10^-11mol/100nM,1E-11
11,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,6,A,2,A2,50000000.0,ATP,ENLITEN_60s,0,10^-11mol/100nM,1E-11
12,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,1,A,3,A3,19380800.0,ATP,ENLITEN_60s,0,10^-11mol/100nM,1E-11
13,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,2,A,3,A3,18963600.0,ATP,ENLITEN_60s,0,10^-11mol/100nM,1E-11
14,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,3,A,3,A3,18863700.0,ATP,ENLITEN_60s,0,10^-11mol/100nM,1E-11
15,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,4,A,3,A3,18621100.0,ATP,ENLITEN_60s,0,10^-11mol/100nM,1E-11
16,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,5,A,3,A3,18647300.0,ATP,ENLITEN_60s,0,10^-11mol/100nM,1E-11
17,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,6,A,3,A3,18127100.0,ATP,ENLITEN_60s,0,10^-11mol/100nM,1E-11
18,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,1,B,1,B1,1827960.0,ATP,ENLITEN_60s,0,10^-12mol/10nM,1E-12
19,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,2,B,1,B1,1828920.0,ATP,ENLITEN_60s,0,10^-12mol/10nM,1E-12
20,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,3,B,1,B1,1820970.0,ATP,ENLITEN_60s,0,10^-12mol/10nM,1E-12
21,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,4,B,1,B1,1795270.0,ATP,ENLITEN_60s,0,10^-12mol/10nM,1E-12
22,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,5,B,1,B1,1784950.0,ATP,ENLITEN_60s,0,10^-12mol/10nM,1E-12
23,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,6,B,1,B1,1775570.0,ATP,ENLITEN_60s,0,10^-12mol/10nM,1E-12
24,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,1,B,2,B2,1731420.0,ATP,ENLITEN_60s,0,10^-12mol/10nM,1E-12
25,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,2,B,2,B2,1723400.0,ATP,ENLITEN_60s,0,10^-12mol/10nM,1E-12
26,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,3,B,2,B2,1720140.0,ATP,ENLITEN_60s,0,10^-12mol/10nM,1E-12
27,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,4,B,2,B2,1742560.0,ATP,ENLITEN_60s,0,10^-12mol/10nM,1E-12
28,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,5,B,2,B2,1693070.0,ATP,ENLITEN_60s,0,10^-12mol/10nM,1E-12
29,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,6,B,2,B2,1722060.0,ATP,ENLITEN_60s,0,10^-12mol/10nM,1E-12
30,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,1,B,3,B3,1588090.0,ATP,ENLITEN_60s,0,10^-12mol/10nM,1E-12
31,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,2,B,3,B3,1595510.0,ATP,ENLITEN_60s,0,10^-12mol/10nM,1E-12
32,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,3,B,3,B3,1634550.0,ATP,ENLITEN_60s,0,10^-12mol/10nM,1E-12
33,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,4,B,3,B3,1596850.0,ATP,ENLITEN_60s,0,10^-12mol/10nM,1E-12
34,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,5,B,3,B3,1567990.0,ATP,ENLITEN_60s,0,10^-12mol/10nM,1E-12
35,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,6,B,3,B3,1551360.0,ATP,ENLITEN_60s,0,10^-12mol/10nM,1E-12
36,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,1,C,1,C1,579738.0,ATP,ENLITEN_60s,0,10^-13mol/1nM,1E-13
37,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,2,C,1,C1,578283.0,ATP,ENLITEN_60s,0,10^-13mol/1nM,1E-13
38,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,3,C,1,C1,572975.0,ATP,ENLITEN_60s,0,10^-13mol/1nM,1E-13
39,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,4,C,1,C1,566600.0,ATP,ENLITEN_60s,0,10^-13mol/1nM,1E-13
40,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,5,C,1,C1,563633.0,ATP,ENLITEN_60s,0,10^-13mol/1nM,1E-13
41,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,6,C,1,C1,559782.0,ATP,ENLITEN_60s,0,10^-13mol/1nM,1E-13
42,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,1,C,2,C2,506107.0,ATP,ENLITEN_60s,0,10^-13mol/1nM,1E-13
43,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,2,C,2,C2,505216.0,ATP,ENLITEN_60s,0,10^-13mol/1nM,1E-13
44,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,3,C,2,C2,499594.0,ATP,ENLITEN_60s,0,10^-13mol/1nM,1E-13
45,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,4,C,2,C2,497910.0,ATP,ENLITEN_60s,0,10^-13mol/1nM,1E-13
46,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,5,C,2,C2,499061.0,ATP,ENLITEN_60s,0,10^-13mol/1nM,1E-13
47,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,6,C,2,C2,491078.0,ATP,ENLITEN_60s,0,10^-13mol/1nM,1E-13
48,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,1,C,3,C3,465422.0,ATP,ENLITEN_60s,0,10^-13mol/1nM,1E-13
49,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,2,C,3,C3,467054.0,ATP,ENLITEN_60s,0,10^-13mol/1nM,1E-13
50,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,3,C,3,C3,464558.0,ATP,ENLITEN_60s,0,10^-13mol/1nM,1E-13
51,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,4,C,3,C3,459031.0,ATP,ENLITEN_60s,0,10^-13mol/1nM,1E-13
52,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,5,C,3,C3,454016.0,ATP,ENLITEN_60s,0,10^-13mol/1nM,1E-13
53,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,6,C,3,C3,454418.0,ATP,ENLITEN_60s,0,10^-13mol/1nM,1E-13
54,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,1,D,1,D1,341836.0,ATP,ENLITEN_60s,0,10^-14mol/100pM,1E-14
55,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,2,D,1,D1,341548.0,ATP,ENLITEN_60s,0,10^-14mol/100pM,1E-14
56,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,3,D,1,D1,340392.0,ATP,ENLITEN_60s,0,10^-14mol/100pM,1E-14
57,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,4,D,1,D1,334000.0,ATP,ENLITEN_60s,0,10^-14mol/100pM,1E-14
58,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,5,D,1,D1,336256.0,ATP,ENLITEN_60s,0,10^-14mol/100pM,1E-14
59,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,6,D,1,D1,333686.0,ATP,ENLITEN_60s,0,10^-14mol/100pM,1E-14
60,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,1,D,2,D2,338175.0,ATP,ENLITEN_60s,0,10^-14mol/100pM,1E-14
61,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,2,D,2,D2,338801.0,ATP,ENLITEN_60s,0,10^-14mol/100pM,1E-14
62,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,3,D,2,D2,336364.0,ATP,ENLITEN_60s,0,10^-14mol/100pM,1E-14
63,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,4,D,2,D2,334911.0,ATP,ENLITEN_60s,0,10^-14mol/100pM,1E-14
64,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,5,D,2,D2,332987.0,ATP,ENLITEN_60s,0,10^-14mol/100pM,1E-14
65,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,6,D,2,D2,330593.0,ATP,ENLITEN_60s,0,10^-14mol/100pM,1E-14
66,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,1,D,3,D3,327322.0,ATP,ENLITEN_60s,0,10^-14mol/100pM,1E-14
67,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,2,D,3,D3,321108.0,ATP,ENLITEN_60s,0,10^-14mol/100pM,1E-14
68,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,3,D,3,D3,319054.0,ATP,ENLITEN_60s,0,10^-14mol/100pM,1E-14
69,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,4,D,3,D3,315700.0,ATP,ENLITEN_60s,0,10^-14mol/100pM,1E-14
70,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,5,D,3,D3,313177.0,ATP,ENLITEN_60s,0,10^-14mol/100pM,1E-14
71,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,6,D,3,D3,310380.0,ATP,ENLITEN_60s,0,10^-14mol/100pM,1E-14
72,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,1,E,1,E1,298982.0,ATP,ENLITEN_60s,0,10^-15mol/10pM,1E-15
73,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,2,E,1,E1,298599.0,ATP,ENLITEN_60s,0,10^-15mol/10pM,1E-15
74,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,3,E,1,E1,300100.0,ATP,ENLITEN_60s,0,10^-15mol/10pM,1E-15
75,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,4,E,1,E1,296738.0,ATP,ENLITEN_60s,0,10^-15mol/10pM,1E-15
76,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,5,E,1,E1,292298.0,ATP,ENLITEN_60s,0,10^-15mol/10pM,1E-15
77,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,6,E,1,E1,290924.0,ATP,ENLITEN_60s,0,10^-15mol/10pM,1E-15
78,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,1,E,2,E2,310128.0,ATP,ENLITEN_60s,0,10^-15mol/10pM,1E-15
79,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,2,E,2,E2,307508.0,ATP,ENLITEN_60s,0,10^-15mol/10pM,1E-15
80,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,3,E,2,E2,305919.0,ATP,ENLITEN_60s,0,10^-15mol/10pM,1E-15
81,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,4,E,2,E2,304469.0,ATP,ENLITEN_60s,0,10^-15mol/10pM,1E-15
82,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,5,E,2,E2,301228.0,ATP,ENLITEN_60s,0,10^-15mol/10pM,1E-15
83,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,6,E,2,E2,299228.0,ATP,ENLITEN_60s,0,10^-15mol/10pM,1E-15
84,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,1,E,3,E3,299623.0,ATP,ENLITEN_60s,0,10^-15mol/10pM,1E-15
85,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,2,E,3,E3,296710.0,ATP,ENLITEN_60s,0,10^-15mol/10pM,1E-15
86,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,3,E,3,E3,295132.0,ATP,ENLITEN_60s,0,10^-15mol/10pM,1E-15
87,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,4,E,3,E3,294704.0,ATP,ENLITEN_60s,0,10^-15mol/10pM,1E-15
88,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,5,E,3,E3,290512.0,ATP,ENLITEN_60s,0,10^-15mol/10pM,1E-15
89,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,6,E,3,E3,288400.0,ATP,ENLITEN_60s,0,10^-15mol/10pM,1E-15
90,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,1,F,1,F1,284780.0,ATP,ENLITEN_60s,0,10^-16mol/1pM,1E-16
91,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,2,F,1,F1,281488.0,ATP,ENLITEN_60s,0,10^-16mol/1pM,1E-16
92,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,3,F,1,F1,278943.0,ATP,ENLITEN_60s,0,10^-16mol/1pM,1E-16
93,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,4,F,1,F1,279982.0,ATP,ENLITEN_60s,0,10^-16mol/1pM,1E-16
94,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,5,F,1,F1,275934.0,ATP,ENLITEN_60s,0,10^-16mol/1pM,1E-16
95,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,6,F,1,F1,273104.0,ATP,ENLITEN_60s,0,10^-16mol/1pM,1E-16
96,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,1,F,2,F2,282412.0,ATP,ENLITEN_60s,0,10^-16mol/1pM,1E-16
97,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,2,F,2,F2,280707.0,ATP,ENLITEN_60s,0,10^-16mol/1pM,1E-16
98,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,3,F,2,F2,279192.0,ATP,ENLITEN_60s,0,10^-16mol/1pM,1E-16
99,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,4,F,2,F2,277196.0,ATP,ENLITEN_60s,0,10^-16mol/1pM,1E-16
100,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,5,F,2,F2,276076.0,ATP,ENLITEN_60s,0,10^-16mol/1pM,1E-16
101,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,6,F,2,F2,272265.0,ATP,ENLITEN_60s,0,10^-16mol/1pM,1E-16
102,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,1,F,3,F3,283300.0,ATP,ENLITEN_60s,0,10^-16mol/1pM,1E-16
103,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,2,F,3,F3,282500.0,ATP,ENLITEN_60s,0,10^-16mol/1pM,1E-16
104,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,3,F,3,F3,283756.0,ATP,ENLITEN_60s,0,10^-16mol/1pM,1E-16
105,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,4,F,3,F3,277208.0,ATP,ENLITEN_60s,0,10^-16mol/1pM,1E-16
106,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,5,F,3,F3,274681.0,ATP,ENLITEN_60s,0,10^-16mol/1pM,1E-16
107,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,6,F,3,F3,273034.0,ATP,ENLITEN_60s,0,10^-16mol/1pM,1E-16
108,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,1,G,1,G1,262866.0,ATP,ENLITEN_60s,0,10^-17mol/100fM,1E-17
109,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,2,G,1,G1,261681.0,ATP,ENLITEN_60s,0,10^-17mol/100fM,1E-17
110,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,3,G,1,G1,259372.0,ATP,ENLITEN_60s,0,10^-17mol/100fM,1E-17
111,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,4,G,1,G1,257041.0,ATP,ENLITEN_60s,0,10^-17mol/100fM,1E-17
112,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,5,G,1,G1,257064.0,ATP,ENLITEN_60s,0,10^-17mol/100fM,1E-17
113,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,6,G,1,G1,256828.0,ATP,ENLITEN_60s,0,10^-17mol/100fM,1E-17
114,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,1,G,2,G2,266492.0,ATP,ENLITEN_60s,0,10^-17mol/100fM,1E-17
115,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,2,G,2,G2,261832.0,ATP,ENLITEN_60s,0,10^-17mol/100fM,1E-17
