,column,concentration,concentration_moles,experiment,kit,read,read_number,rfu_value,row,sample_set,standard_substrate,timepoint,well
18,10,0mol/0pM,0,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,1,11439.7,A,AMP_Standards,AMP,,A10
19,10,0mol/0pM,0,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,2,11392.7,A,AMP_Standards,AMP,,A10
20,10,0mol/0pM,0,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,3,10993.5,A,AMP_Standards,AMP,,A10
21,10,0mol/0pM,0,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,4,10891,A,AMP_Standards,AMP,,A10
22,10,0mol/0pM,0,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,5,10753,A,AMP_Standards,AMP,,A10
23,10,0mol/0pM,0,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,6,10536.4,A,AMP_Standards,AMP,,A10
24,11,0mol/0pM,0,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,1,12217.1,A,AMP_Standards,AMP,,A11
25,11,0mol/0pM,0,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,2,12023.2,A,AMP_Standards,AMP,,A11
26,11,0mol/0pM,0,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,3,11829.1,A,AMP_Standards,AMP,,A11
27,11,0mol/0pM,0,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,4,11721.8,A,AMP_Standards,AMP,,A11
28,11,0mol/0pM,0,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,5,11560.6,A,AMP_Standards,AMP,,A11
29,11,0mol/0pM,0,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,6,11238.5,A,AMP_Standards,AMP,,A11
30,12,0mol/0pM,0,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,1,11000.5,A,AMP_Standards,AMP,,A12
31,12,0mol/0pM,0,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,2,10859.4,A,AMP_Standards,AMP,,A12
32,12,0mol/0pM,0,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,3,10659.3,A,AMP_Standards,AMP,,A12
33,12,0mol/0pM,0,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,4,10432.7,A,AMP_Standards,AMP,,A12
34,12,0mol/0pM,0,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,5,10155.4,A,AMP_Standards,AMP,,A12
35,12,0mol/0pM,0,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,6,10334.9,A,AMP_Standards,AMP,,A12
36,1,0mol/0aM,0,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,1,127966,B,NANCY_DREW,AMP,,B1
37,1,0mol/0aM,0,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,2,125041,B,NANCY_DREW,AMP,,B1
38,1,0mol/0aM,0,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,3,123664,B,NANCY_DREW,AMP,,B1
39,1,0mol/0aM,0,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,4,122856,B,NANCY_DREW,AMP,,B1
40,1,0mol/0aM,0,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,5,122727,B,NANCY_DREW,AMP,,B1
41,1,0mol/0aM,0,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,6,120891,B,NANCY_DREW,AMP,,B1
42,2,0mol/0aM,0,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,1,130369,B,NANCY_DREW,AMP,,B2
43,2,0mol/0aM,0,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,2,128935,B,NANCY_DREW,AMP,,B2
44,2,0mol/0aM,0,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,3,126186,B,NANCY_DREW,AMP,,B2
45,2,0mol/0aM,0,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,4,125045,B,NANCY_DREW,AMP,,B2
46,2,0mol/0aM,0,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,5,126931,B,NANCY_DREW,AMP,,B2
47,2,0mol/0aM,0,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,6,122747,B,NANCY_DREW,AMP,,B2
48,3,0mol/0aM,0,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,1,145581,B,NANCY_DREW,AMP,,B3
49,3,0mol/0aM,0,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,2,144760,B,NANCY_DREW,AMP,,B3
50,3,0mol/0aM,0,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,3,143748,B,NANCY_DREW,AMP,,B3
51,3,0mol/0aM,0,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,4,142807,B,NANCY_DREW,AMP,,B3
52,3,0mol/0aM,0,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,5,142940,B,NANCY_DREW,AMP,,B3
53,3,0mol/0aM,0,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,6,139386,B,NANCY_DREW,AMP,,B3
54,4,10^-16mol/1pM,1e-16,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,1,6153.59,B,AMP_Standards,AMP,,B4
55,4,10^-16mol/1pM,1e-16,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,2,6149.29,B,AMP_Standards,AMP,,B4
56,4,10^-16mol/1pM,1e-16,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,3,6140.78,B,AMP_Standards,AMP,,B4
57,4,10^-16mol/1pM,1e-16,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,4,5987.81,B,AMP_Standards,AMP,,B4
58,4,10^-16mol/1pM,1e-16,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,5,5907.87,B,AMP_Standards,AMP,,B4
59,4,10^-16mol/1pM,1e-16,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,6,5785.71,B,AMP_Standards,AMP,,B4
60,5,10^-16mol/1pM,1e-16,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,1,5684.26,B,AMP_Standards,AMP,,B5
61,5,10^-16mol/1pM,1e-16,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,2,5651.04,B,AMP_Standards,AMP,,B5
62,5,10^-16mol/1pM,1e-16,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,3,5648.64,B,AMP_Standards,AMP,,B5
63,5,10^-16mol/1pM,1e-16,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,4,5532.39,B,AMP_Standards,AMP,,B5
64,5,10^-16mol/1pM,1e-16,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,5,5433.54,B,AMP_Standards,AMP,,B5
65,5,10^-16mol/1pM,1e-16,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,6,5312.19,B,AMP_Standards,AMP,,B5
66,6,10^-16mol/1pM,1e-16,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,1,5241.95,B,AMP_Standards,AMP,,B6
67,6,10^-16mol/1pM,1e-16,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,2,5187.13,B,AMP_Standards,AMP,,B6
68,6,10^-16mol/1pM,1e-16,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,3,5085.59,B,AMP_Standards,AMP,,B6
69,6,10^-16mol/1pM,1e-16,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,4,5017.56,B,AMP_Standards,AMP,,B6
70,6,10^-16mol/1pM,1e-16,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,5,5029.46,B,AMP_Standards,AMP,,B6
71,6,10^-16mol/1pM,1e-16,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,6,4854.79,B,AMP_Standards,AMP,,B6
72,1,1.25e-20mol/125aM,1.25e-20,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,1,131274,C,NANCY_DREW,AMP,,C1
73,1,1.25e-20mol/125aM,1.25e-20,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,2,130994,C,NANCY_DREW,AMP,,C1
74,1,1.25e-20mol/125aM,1.25e-20,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,3,129186,C,NANCY_DREW,AMP,,C1
75,1,1.25e-20mol/125aM,1.25e-20,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,4,128507,C,NANCY_DREW,AMP,,C1
76,1,1.25e-20mol/125aM,1.25e-20,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,5,126570,C,NANCY_DREW,AMP,,C1
77,1,1.25e-20mol/125aM,1.25e-20,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,6,127675,C,NANCY_DREW,AMP,,C1
78,2,1.25e-20mol/125aM,1.25e-20,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,1,136925,C,NANCY_DREW,AMP,,C2
79,2,1.25e-20mol/125aM,1.25e-20,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,2,138692,C,NANCY_DREW,AMP,,C2
80,2,1.25e-20mol/125aM,1.25e-20,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,3,136360,C,NANCY_DREW,AMP,,C2
81,2,1.25e-20mol/125aM,1.25e-20,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,4,134556,C,NANCY_DREW,AMP,,C2
82,2,1.25e-20mol/125aM,1.25e-20,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,5,133051,C,NANCY_DREW,AMP,,C2
83,2,1.25e-20mol/125aM,1.25e-20,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,6,131632,C,NANCY_DREW,AMP,,C2
84,3,1.25e-20mol/125aM,1.25e-20,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,1,138952,C,NANCY_DREW,AMP,,C3
85,3,1.25e-20mol/125aM,1.25e-20,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,2,139577,C,NANCY_DREW,AMP,,C3
86,3,1.25e-20mol/125aM,1.25e-20,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,3,136983,C,NANCY_DREW,AMP,,C3
87,3,1.25e-20mol/125aM,1.25e-20,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,4,135182,C,NANCY_DREW,AMP,,C3
88,3,1.25e-20mol/125aM,1.25e-20,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,5,134189,C,NANCY_DREW,AMP,,C3
89,3,1.25e-20mol/125aM,1.25e-20,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,6,133067,C,NANCY_DREW,AMP,,C3
90,4,10^-15mol/10pM,1e-15,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,1,4486.34,C,AMP_Standards,AMP,,C4
91,4,10^-15mol/10pM,1e-15,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,2,4435.73,C,AMP_Standards,AMP,,C4
92,4,10^-15mol/10pM,1e-15,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,3,4371,C,AMP_Standards,AMP,,C4
93,4,10^-15mol/10pM,1e-15,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,4,4327.49,C,AMP_Standards,AMP,,C4
94,4,10^-15mol/10pM,1e-15,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,5,4218.85,C,AMP_Standards,AMP,,C4
95,4,10^-15mol/10pM,1e-15,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,6,4099.41,C,AMP_Standards,AMP,,C4
96,5,10^-15mol/10pM,1e-15,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,1,4404.91,C,AMP_Standards,AMP,,C5
97,5,10^-15mol/10pM,1e-15,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,2,4346.59,C,AMP_Standards,AMP,,C5
98,5,10^-15mol/10pM,1e-15,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,3,4368.3,C,AMP_Standards,AMP,,C5
99,5,10^-15mol/10pM,1e-15,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,4,4256.06,C,AMP_Standards,AMP,,C5
100,5,10^-15mol/10pM,1e-15,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,5,4118.81,C,AMP_Standards,AMP,,C5
101,5,10^-15mol/10pM,1e-15,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,6,4065.89,C,AMP_Standards,AMP,,C5
102,6,10^-15mol/10pM,1e-15,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,1,4395.01,C,AMP_Standards,AMP,,C6
103,6,10^-15mol/10pM,1e-15,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,2,4255.76,C,AMP_Standards,AMP,,C6
104,6,10^-15mol/10pM,1e-15,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,3,4228.25,C,AMP_Standards,AMP,,C6
105,6,10^-15mol/10pM,1e-15,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,4,4191.14,C,AMP_Standards,AMP,,C6
106,6,10^-15mol/10pM,1e-15,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,5,4173.53,C,AMP_Standards,AMP,,C6
107,6,10^-15mol/10pM,1e-15,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,6,4143.72,C,AMP_Standards,AMP,,C6
108,1,1.25e-18mol/12.5fM,1.25e-18,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,1,139183,D,NANCY_DREW,AMP,,D1
109,1,1.25e-18mol/12.5fM,1.25e-18,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,2,139501,D,NANCY_DREW,AMP,,D1
110,1,1.25e-18mol/12.5fM,1.25e-18,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,3,138737,D,NANCY_DREW,AMP,,D1
111,1,1.25e-18mol/12.5fM,1.25e-18,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,4,135224,D,NANCY_DREW,AMP,,D1
112,1,1.25e-18mol/12.5fM,1.25e-18,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,5,133866,D,NANCY_DREW,AMP,,D1
113,1,1.25e-18mol/12.5fM,1.25e-18,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,6,133628,D,NANCY_DREW,AMP,,D1
114,2,1.25e-18mol/12.5fM,1.25e-18,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,1,139106,D,NANCY_DREW,AMP,,D2
115,2,1.25e-18mol/12.5fM,1.25e-18,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,2,138035,D,NANCY_DREW,AMP,,D2
116,2,1.25e-18mol/12.5fM,1.25e-18,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,3,138995,D,NANCY_DREW,AMP,,D2
117,2,1.25e-18mol/12.5fM,1.25e-18,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,4,137055,D,NANCY_DREW,AMP,,D2
118,2,1.25e-18mol/12.5fM,1.25e-18,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,5,133315,D,NANCY_DREW,AMP,,D2
119,2,1.25e-18mol/12.5fM,1.25e-18,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,6,134714,D,NANCY_DREW,AMP,,D2
120,3,1.25e-18mol/12.5fM,1.25e-18,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,1,161638,D,NANCY_DREW,AMP,,D3
121,3,1.25e-18mol/12.5fM,1.25e-18,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,2,160798,D,NANCY_DREW,AMP,,D3
122,3,1.25e-18mol/12.5fM,1.25e-18,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,3,158926,D,NANCY_DREW,AMP,,D3
123,3,1.25e-18mol/12.5fM,1.25e-18,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,4,160054,D,NANCY_DREW,AMP,,D3
124,3,1.25e-18mol/12.5fM,1.25e-18,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,5,157141,D,NANCY_DREW,AMP,,D3
125,3,1.25e-18mol/12.5fM,1.25e-18,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,6,156630,D,NANCY_DREW,AMP,,D3
126,4,10^-14mol/100pM,1e-14,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,1,4374.9,D,AMP_Standards,AMP,,D4
127,4,10^-14mol/100pM,1e-14,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,2,4256.76,D,AMP_Standards,AMP,,D4
128,4,10^-14mol/100pM,1e-14,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,3,4263.86,D,AMP_Standards,AMP,,D4
129,4,10^-14mol/100pM,1e-14,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,4,4102.71,D,AMP_Standards,AMP,,D4
130,4,10^-14mol/100pM,1e-14,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,5,4104.91,D,AMP_Standards,AMP,,D4
131,4,10^-14mol/100pM,1e-14,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,6,4031.98,D,AMP_Standards,AMP,,D4
